model,seed,S,K,total_nfe,R_partition,R_partition_lo,R_partition_hi,R_nested,R_nested_lo,R_nested_hi,marginal_gain_to_2K,marginal_gain_to_2K_lo,marginal_gain_to_2K_hi,R_minus_R32,R_minus_R32_lo,R_minus_R32_hi
consistency distillation,2,1,16,16,6.566629840607037,6.195019301713948,6.955938541200993,6.559271632564923,6.187591806886192,6.951785323499712,0.12238276148520685,0.1054633078823017,0.1398502463298546,0.12238276148520685,0.1054633078823017,0.1398502463298546
consistency distillation,2,1,32,32,6.444247079121831,6.065903498010624,6.838441031561104,6.444247079121831,6.065903498010624,6.838441031561104,nan,nan,nan,0.0,0.0,0.0
PENGUIN (Euler),42,4,1,4,8.264873644148425,7.921098988567821,8.628883907722445,7.974126733114465,7.587852745512683,8.359475659861147,0.5614722500868122,0.5432367170485483,0.5820019141949742,2.2178205778311813,2.1551447251773865,2.2871260440457215
PENGUIN (Euler),42,4,2,8,7.703401394061613,7.363483877356379,8.065062104499217,7.665113001032402,7.3070813512324895,8.03248916462243,0.9869400631135185,0.9562539107356546,1.0192092072333176,1.6563483277443685,1.5999954219116395,1.7154926879439611
PENGUIN (Euler),42,4,4,16,6.716461330948094,6.358051248666527,7.092662929976582,6.678672152261885,6.305714385508733,7.055047880532744,0.3993514549663323,0.3766549966096648,0.4226342219947514,0.6694082646308502,0.6350750303611906,0.7037290418887636
PENGUIN (Euler),42,4,8,32,6.317109875981761,5.950003423105441,6.70437130403343,6.304229119338268,5.934884454603348,6.695680813241034,0.17648598020833378,0.15983687647029338,0.1930821419299488,0.270056809664518,0.2464104117091954,0.29109053540640867
PENGUIN (Euler),42,4,16,64,6.140623895773428,5.766631803065452,6.5317415429229575,6.128350370386146,5.753939983691198,6.522624619064,0.09357082945618421,0.07821048739083401,0.107111830936994,0.09357082945618421,0.07821048739083401,0.107111830936994
PENGUIN (Euler),42,4,32,128,6.047053066317243,5.667298139950841,6.435720366417843,6.047053066317243,5.667298139950841,6.435720366417843,nan,nan,nan,0.0,0.0,0.0
PENGUIN (Euler),1,4,1,4,9.411955758653324,9.092962962376275,9.746728675510186,9.197219145528548,8.825622668280038,9.561086213171972,0.6615614385355781,0.6419571055795615,0.6817931028752753,3.422395403367195,3.3356006461081806,3.5102631826835924
PENGUIN (Euler),1,4,2,8,8.750394320117746,8.434553724251932,9.07551556879136,8.671285729449966,8.326345549231435,9.010538868010089,1.5052874126158458,1.4662537350870146,1.543128019435197,2.7608339648316167,2.6768341828442783,2.8451629132571523
PENGUIN (Euler),1,4,4,16,7.245106907501901,6.905794529130204,7.596802656200475,7.189971649013821,6.835432541468352,7.548899101974914,0.7335509450804794,0.7026333017038976,0.7633676833185773,1.2555465522157716,1.2029166077945912,1.3109824671996575
PENGUIN (Euler),1,4,8,32,6.511555962421422,6.160758503184352,6.8729249695361485,6.46497714398159,6.107216768482372,6.824671382709228,0.34909098110303016,0.32390393897628295,0.373875648338601,0.521995607135292,0.48872772379027607,0.5568878568353429
PENGUIN (Euler),1,4,16,64,6.162464981318391,5.79827143543079,6.542290252025512,6.1394054730317595,5.772077286556935,6.516192070873414,0.17290462603226192,0.15421667556338609,0.19346953046191634,0.17290462603226192,0.15421667556338609,0.19346953046191634
PENGUIN (Euler),1,4,32,128,5.989560355286129,5.621115147354513,6.372069224270754,5.989560355286129,5.621115147354513,6.372069224270754,nan,nan,nan,0.0,0.0,0.0
PENGUIN (Euler),2,4,1,4,9.304414811720351,8.978273535776326,9.652155731814865,9.10988434325791,8.751884368414082,9.476395855480396,0.7118678408104282,0.6901753799744391,0.7353270569718928,3.1111733961142045,3.0318375767577184,3.191160815820158
PENGUIN (Euler),2,4,2,8,8.592546970909922,8.26972254164136,8.932348633190365,8.52484171741484,8.181108737998372,8.875798253841854,1.3418361413987632,1.3053227391319298,1.3764112521019058,2.3993055553037763,2.327903324657942,2.472337680802974
PENGUIN (Euler),2,4,4,16,7.250710829511161,6.906056174341773,7.611171180012678,7.195745741522638,6.840704860847926,7.563751577837522,0.6343814472711001,0.6092422110963799,0.6609016468209702,1.0574694139050131,1.0134976658747397,1.1039156480527599
PENGUIN (Euler),2,4,8,32,6.6163293822400595,6.259965013340356,6.9906454328383845,6.546180013336104,6.181160408003024,6.921000726180626,0.2931650053905527,0.27318286925145485,0.3140601057376235,0.42308796663391324,0.3958114471885769,0.45180552209429997
PENGUIN (Euler),2,4,16,64,6.323164376849507,5.957667788066835,6.700006803702914,6.307905604805851,5.940688084301072,6.68861971576081,0.12992296124336047,0.11464639639829916,0.1462958718815837,0.12992296124336047,0.11464639639829916,0.1462958718815837
PENGUIN (Euler),2,4,32,128,6.193241415606146,5.824653276216548,6.5708311237104375,6.193241415606146,5.824653276216548,6.5708311237104375,nan,nan,nan,0.0,0.0,0.0
