round,global_step,s,bin,n,h_mean,beta_mean,w_mean,effective_w_mean,delta2_mean,u_norm_mean,dudt_norm_mean,hdudt_norm_mean
30,6600,0.9,"[0.5,0.7)",527,0.573633,0.599887,0.00618949,0.003713,205.7537,32.9187,17.3655,9.9152
30,6600,0.9,"[0.7,1.0)",61,0.756431,0.384934,0.0055324,0.0021296,252.3952,32.4884,16.6224,12.6287
30,6600,0.9,boundary(r=t),7012,0.0,1.0,0.00844366,0.00844366,142.0805,0.0,0.0,0.0
31,6820,0.896667,"[0.0,0.1)",1818,0.048677,1.216626,0.00859301,0.01045448,149.5831,33.1785,33.5661,1.6014
31,6820,0.896667,"[0.1,0.3)",2969,0.19384,1.046489,0.00654819,0.00685261,214.801,33.4293,32.973,6.4297
31,6820,0.896667,"[0.3,0.5)",1633,0.386312,0.820906,0.00532362,0.00437019,320.8432,33.2656,28.5215,10.7812
31,6820,0.896667,"[0.5,0.7)",528,0.574671,0.600179,0.00595907,0.00357651,212.8936,32.9915,17.7928,10.1448
31,6820,0.896667,"[0.7,1.0)",65,0.744866,0.40071,0.00537423,0.00215351,237.6701,32.9627,16.7727,12.5001
31,6820,0.896667,boundary(r=t),7012,0.0,1.0,0.00839604,0.00839604,142.8996,0.0,0.0,0.0
32,7040,0.893333,"[0.0,0.1)",1908,0.050592,1.213569,0.00840504,0.0102001,151.7561,33.1569,33.1631,1.641
32,7040,0.893333,"[0.1,0.3)",2893,0.192625,1.047733,0.00652091,0.00683217,213.9351,33.3664,32.6714,6.3489
32,7040,0.893333,"[0.3,0.5)",1643,0.38834,0.819199,0.00528929,0.00433298,317.1934,33.2164,28.0192,10.695
32,7040,0.893333,"[0.5,0.7)",513,0.577741,0.598006,0.00611704,0.00365803,213.964,33.1161,17.7691,10.1928
32,7040,0.893333,"[0.7,1.0)",56,0.743843,0.404038,0.00586796,0.00237088,221.8124,32.9422,15.278,11.4217
32,7040,0.893333,boundary(r=t),7012,0.0,1.0,0.00852113,0.00852113,141.5808,0.0,0.0,0.0
33,7260,0.89,"[0.0,0.1)",1874,0.050078,1.213384,0.0085403,0.01036267,148.5577,33.2028,33.1922,1.6294
33,7260,0.89,"[0.1,0.3)",2906,0.193534,1.046497,0.00652188,0.00682513,207.264,33.4226,31.9254,6.1925
33,7260,0.89,"[0.3,0.5)",1619,0.386165,0.822404,0.00537185,0.00441782,327.0855,33.2574,28.383,10.7034
33,7260,0.89,"[0.5,0.7)",553,0.572999,0.605076,0.00614736,0.00371962,207.5188,32.9292,17.3634,9.8804
33,7260,0.89,"[0.7,1.0)",61,0.753272,0.395277,0.00563303,0.0022266,214.2961,32.644,15.4763,11.6313
33,7260,0.89,boundary(r=t),7012,0.0,1.0,0.00846069,0.00846069,142.4941,0.0,0.0,0.0
34,7480,0.886667,"[0.0,0.1)",1867,0.049884,1.21281,0.0087078,0.0105609,149.0073,33.2423,33.3169,1.6192
34,7480,0.886667,"[0.1,0.3)",2885,0.193674,1.046163,0.00649168,0.00679136,212.9111,33.4415,32.7114,6.3725
34,7480,0.886667,"[0.3,0.5)",1669,0.383392,0.826292,0.00517198,0.00427357,349.2896,33.1658,29.8498,11.223
34,7480,0.886667,"[0.5,0.7)",542,0.577313,0.601532,0.00606989,0.00365123,224.8759,33.1775,18.0245,10.2996
34,7480,0.886667,"[0.7,1.0)",50,0.738821,0.4142,0.00573269,0.00237448,225.8081,32.6458,15.7556,11.6802
34,7480,0.886667,boundary(r=t),7012,0.0,1.0,0.00871039,0.00871039,138.933,0.0,0.0,0.0
35,7700,0.883333,"[0.0,0.1)",1809,0.049443,1.212519,0.00869523,0.01054313,146.6119,33.3101,33.2999,1.6199
35,7700,0.883333,"[0.1,0.3)",3009,0.193946,1.045675,0.0065324,0.00683076,220.2858,33.4834,33.2514,6.4981
35,7700,0.883333,"[0.3,0.5)",1632,0.388312,0.821256,0.00529483,0.00434842,308.4756,33.4246,28.3885,10.8366
35,7700,0.883333,"[0.5,0.7)",489,0.57391,0.606956,0.00592233,0.00359459,234.8936,32.9497,18.5571,10.5724
35,7700,0.883333,"[0.7,1.0)",74,0.753095,0.399919,0.0050978,0.00203871,280.1405,32.4634,16.9419,12.7745
35,7700,0.883333,boundary(r=t),7012,0.0,1.0,0.00865002,0.00865002,139.6649,0.0,0.0,0.0
36,7920,0.88,"[0.0,0.1)",1824,0.048993,1.212242,0.00840517,0.0101891,152.0294,32.9389,34.4439,1.6536
36,7920,0.88,"[0.1,0.3)",2949,0.192595,1.047056,0.00658835,0.00689838,210.8232,33.2472,32.9111,6.3633
36,7920,0.88,"[0.3,0.5)",1658,0.38562,0.82503,0.00527783,0.00435437,315.5219,33.1779,28.1544,10.6461
36,7920,0.88,"[0.5,0.7)",512,0.572869,0.60963,0.00585303,0.00356818,224.5624,32.7606,18.4097,10.4721
36,7920,0.88,"[0.7,1.0)",70,0.747085,0.409294,0.00562973,0.00230422,245.0571,32.5927,17.1473,12.83
36,7920,0.88,boundary(r=t),7012,0.0,1.0,0.00845496,0.00845496,142.2977,0.0,0.0,0.0
37,8140,0.876667,"[0.0,0.1)",1812,0.049447,1.210915,0.008721,0.01056039,146.9127,33.2957,33.8911,1.6437
37,8140,0.876667,"[0.1,0.3)",2934,0.19305,1.046359,0.00659648,0.00690228,208.2152,33.4274,32.2869,6.2466
37,8140,0.876667,"[0.3,0.5)",1684,0.384647,0.826804,0.00518549,0.00428739,321.6378,33.2076,29.0826,10.9424
37,8140,0.876667,"[0.5,0.7)",523,0.574519,0.609198,0.00598657,0.00364701,209.9567,32.9683,17.5862,10.0742
37,8140,0.876667,"[0.7,1.0)",60,0.744459,0.414463,0.00557026,0.00230866,228.6043,32.7978,16.3736,12.1922
37,8140,0.876667,boundary(r=t),7012,0.0,1.0,0.0087237,0.0087237,138.8881,0.0,0.0,0.0
38,8360,0.873333,"[0.0,0.1)",1812,0.049284,1.210299,0.00862977,0.0104446,147.8789,33.2661,33.3396,1.6136
38,8360,0.873333,"[0.1,0.3)",2882,0.192335,1.046998,0.00678606,0.00710499,203.7558,33.4156,32.0839,6.196
38,8360,0.873333,"[0.3,0.5)",1714,0.384449,0.827683,0.00525226,0.0043472,314.7002,33.21,28.1371,10.6398
38,8360,0.873333,"[0.5,0.7)",554,0.578269,0.606416,0.00579772,0.00351583,234.7691,33.1417,18.4041,10.5225
38,8360,0.873333,"[0.7,1.0)",51,0.748928,0.411757,0.00516132,0.00212521,265.8734,32.9244,16.7961,12.5549
38,8360,0.873333,boundary(r=t),7012,0.0,1.0,0.00867047,0.00867047,139.733,0.0,0.0,0.0
39,8580,0.87,"[0.0,0.1)",1918,0.049018,1.209803,0.00878074,0.01062297,146.2518,33.2934,32.7627,1.573
39,8580,0.87,"[0.1,0.3)",2878,0.192119,1.047068,0.0066103,0.00692143,214.5038,33.4796,32.8684,6.3894
39,8580,0.87,"[0.3,0.5)",1639,0.385395,0.827265,0.00533882,0.00441662,318.7789,33.3256,28.4743,10.7546
39,8580,0.87,"[0.5,0.7)",512,0.572661,0.614327,0.00585506,0.00359692,212.4291,33.1945,18.0133,10.2578
39,8580,0.87,"[0.7,1.0)",66,0.743014,0.420468,0.00532719,0.00223991,236.9133,33.2052,16.7125,12.4019
39,8580,0.87,boundary(r=t),7012,0.0,1.0,0.00878026,0.00878026,137.9026,0.0,0.0,0.0
40,8800,0.866667,"[0.0,0.1)",1802,0.050159,1.207716,0.00884966,0.01068787,143.9709,33.3315,33.3725,1.6315
40,8800,0.866667,"[0.1,0.3)",2995,0.193641,1.045164,0.0065714,0.00686819,211.0326,33.4231,32.7141,6.3683
40,8800,0.866667,"[0.3,0.5)",1599,0.385322,0.828014,0.00528752,0.00437814,312.8836,33.3854,28.1085,10.6548
40,8800,0.866667,"[0.5,0.7)",552,0.576409,0.611525,0.00593334,0.00362838,215.6856,33.0416,17.4849,10.0178
40,8800,0.866667,"[0.7,1.0)",65,0.749441,0.4157,0.00558935,0.00232349,245.2467,32.4098,16.5428,12.4047
40,8800,0.866667,boundary(r=t),7012,0.0,1.0,0.00878472,0.00878472,137.5823,0.0,0.0,0.0
41,9020,0.863333,"[0.0,0.1)",1853,0.048821,1.208428,0.00870295,0.01051689,147.3282,33.1919,33.3424,1.6067
41,9020,0.863333,"[0.1,0.3)",2989,0.193495,1.04515,0.00661575,0.00691445,207.9915,33.5098,32.1738,6.2886
41,9020,0.863333,"[0.3,0.5)",1600,0.387464,0.826255,0.00521744,0.00431094,326.9795,33.3311,29.0533,11.0333
41,9020,0.863333,"[0.5,0.7)",514,0.575524,0.614032,0.005926,0.00363875,249.1707,33.0942,18.8298,10.7456
41,9020,0.863333,"[0.7,1.0)",57,0.741652,0.426539,0.00602092,0.00256816,191.705,32.9432,15.1303,11.2094
41,9020,0.863333,boundary(r=t),7012,0.0,1.0,0.008862,0.008862,137.8257,0.0,0.0,0.0
42,9240,0.86,"[0.0,0.1)",1802,0.050722,1.205485,0.00881983,0.01063217,144.0165,33.4149,33.0005,1.6456
42,9240,0.86,"[0.1,0.3)",2993,0.192332,1.046285,0.00652385,0.00682581,213.8321,33.4838,33.1163,6.4451
42,9240,0.86,"[0.3,0.5)",1624,0.38453,0.830216,0.00525676,0.00436425,325.8093,33.2726,29.1267,10.975
42,9240,0.86,"[0.5,0.7)",535,0.572467,0.618937,0.00607104,0.00375759,223.1811,33.1532,17.9399,10.1739
