beat_count_max,beat_count_mean,beat_count_min,beat_count_sd,cond_timing_sd_ms,frac_unstable_beats,gt_detection_prob,nfe,seed_pair_f1,subject,window
10,9.0,8,0.3592106040535498,15.774960917138776,0.0,1.0,1,1.0,an0,10292
12,9.125,7,0.7931155389125321,37.23719157988203,0.0,0.875,1,0.5,an0,10623
10,8.84375,5,0.8838834764831844,24.885827762594676,0.0,0.90625,1,0.7368421052631577,an0,10790
10,8.90625,4,1.1175830776653122,24.266637500392065,0.0,0.90625,1,0.811764705882353,an0,10833
11,9.03125,7,1.1495967034769894,47.930747108216465,0.5555555555555556,0.75,1,0.35294117647058826,an0,10982
11,9.03125,6,0.89746506805953,18.243537665233852,0.0,0.9375,1,0.8888888888888888,an0,11027
12,9.59375,4,1.9651705171028602,69.10171707161909,0.9,0.34375,1,0.10526315789473685,an0,11261
13,10.125,7,1.2889105176778741,90.3857346318032,0.9230769230769231,0.40625,1,0.11111111111111112,an0,11392
11,9.6875,6,1.0606601717798212,30.900282716301376,0.0,0.890625,1,0.6666666666666666,an0,11450
10,8.3125,4,1.1198358174592007,32.97345419129889,0.0,0.9375,1,0.6666666666666665,an0,11583
10,8.75,4,1.1071614388213236,35.256983234400124,0.1111111111111111,0.90625,1,0.5555555555555556,an0,11599
12,8.21875,5,1.2632363710059404,45.16158002661895,0.0,0.875,1,0.4615384615384615,an0,11637
11,7.9375,6,1.1622419935679933,59.44634328564476,0.7777777777777778,0.71875,1,0.30769230769230765,an0,11644
10,8.34375,5,1.0957211500695228,38.64797416577039,0.125,0.9375,1,0.5298245614035088,an0,11659
11,8.96875,3,1.4915758066879383,nan,1.0,0.40625,1,0.3157894736842105,an0,11797
9,8.3125,7,0.5922891621605981,29.240393305946753,0.0,0.875,1,0.625,an0,11850
10,7.96875,4,1.2568361455552564,30.70462582765732,0.125,0.9375,1,0.6666666666666666,an0,12064
10,8.09375,5,1.0582814736256865,22.21747446414834,0.0,0.90625,1,0.75,an0,12097
11,9.6875,7,0.8590129369261278,43.73576910830188,0.1,0.859375,1,0.47058823529411764,an0,12333
10,7.75,7,0.9503819266229829,25.257642665755764,0.0,1.0,1,0.75,an0,12437
13,9.53125,5,1.7224209331541875,86.41080031953184,1.0,0.375,1,0.11764705882352941,an0,12764
13,10.21875,5,1.4752665150143482,51.12646415953872,0.2727272727272727,0.8125,1,0.39999999999999997,an0,12972
11,9.25,5,1.1913667943625412,57.107236817356,0.1111111111111111,0.84375,1,0.4210526315789474,an0,13044
13,9.625,4,2.136472824314004,67.92376553309111,0.9285714285714286,0.453125,1,0.11764705882352941,an0,13088
13,10.15625,6,1.4834435744947219,80.7350001625928,0.9333333333333333,0.46875,1,0.1111111111111111,an0,13096
12,10.15625,4,1.8855883825445832,52.07109123515598,1.0,0.609375,1,0.28571428571428564,an0,13175
12,10.3125,6,1.3781123134153823,76.07378045386592,0.9166666666666666,0.359375,1,0.2105263157894737,an0,13176
11,9.21875,4,1.5394673356129889,61.26485054103688,0.7272727272727273,0.53125,1,0.23529411764705882,an0,13231
13,9.875,5,1.896516330946925,75.74693634140993,0.9375,0.421875,1,0.11111111111111112,an0,13273
13,9.90625,5,1.855408397787572,78.66214766824132,1.0,0.40625,1,0.11111111111111112,an0,13311
12,9.78125,6,1.0696509831746295,70.42808595205716,1.0,0.5625,1,0.2,an0,13342
11,9.28125,6,1.1976960409267507,66.81423196813488,1.0,0.5625,1,0.2105263157894737,an0,13519
10,8.96875,8,0.4003526671130294,43.407626411031146,0.0,0.9375,1,0.631578947368421,an0,13708
13,10.46875,5,1.6652884086160473,70.39383150087824,0.8181818181818182,0.4375,1,0.18181818181818182,an0,13972
12,9.65625,7,1.2341740087487534,42.993553644436716,0.2727272727272727,0.8125,1,0.4444444444444444,an0,14051
11,9.46875,6,1.0771639884736754,30.723689469144162,0.2,0.890625,1,0.6,an0,14178
11,10.21875,8,0.7924797748513126,25.21518253841683,0.0,0.9375,1,0.7368421052631577,an0,14216
12,9.5625,7,1.0453429750487975,49.57228080596611,0.6,0.71875,1,0.3333333333333333,an0,14217
12,9.8125,7,1.3060035073805594,88.4261031608588,0.9090909090909091,0.46875,1,0.10526315789473685,an0,14354
13,9.40625,4,1.864081110653926,83.92051282861435,0.8333333333333334,0.359375,1,0.1111111111111111,an0,14577
