bootstrap,dataset,mean,mean_ci_hi,mean_ci_lo,median,median_ci_hi,median_ci_lo,n,n_clusters,q25,q75,quantity
"window(within-subject, descriptive)",dalia_s2,0.30359403689106396,0.3046436069425902,0.3025287134744196,0.30450540761621464,0.30575066971485537,0.3032377523657421,1025,1025,0.2918414111949188,0.3152103224735181,iMF1/d_pair
"window(within-subject, descriptive)",dalia_s2,0.07267057851910118,0.07502591895313249,0.0702820859454199,0.0639245252569637,0.06763028054216687,0.06078778535136999,1025,1025,0.04122305969318832,0.09893783346695514,OT1/Fbar_vs_M_A6_rmse
"window(within-subject, descriptive)",dalia_s2,0.17581836092444117,0.18580118139052118,0.16579670525809803,0.17739274379445355,0.1903426847199886,0.16516673830950632,1025,1025,0.07271470746176475,0.27685811657012965,OT1/Fbar_vs_M_A6_pcc
"window(within-subject, descriptive)",dalia_s2,0.8868243233234541,0.8946999248598271,0.8790910896595433,0.9331168808871544,0.9381632341045443,0.9225022658655373,1025,1025,0.8238508172522729,0.9835450180807572,OT1/Q_MSE
"window(within-subject, descriptive)",dalia_s2,0.30101340857571535,0.3050798861150718,0.2971918948006743,0.284564663137886,0.2922901126426517,0.28007211262946463,1025,1025,0.251824480610576,0.339788679241921,OT1/Fbar_vs_GT_rmse
"window(within-subject, descriptive)",dalia_s2,0.0470994292627438,0.0495967307495448,0.044802736563724466,0.042306821793317795,0.045112681621685614,0.04013194888830185,256,64,0.03686295077204704,0.05409183353185654,OT1/rho_J
"window(within-subject, descriptive)",dalia_s2,0.640590638271533,0.6921194028662284,0.5941101465839893,0.583817183971405,0.6167190372943878,0.5513067446649075,256,64,0.4577832892537117,0.7309791147708893,iMF1/rho_J
"window(within-subject, descriptive)",dalia_s1,0.0011275667714394045,0.001157449326424144,0.001097564984258702,0.001017611350226291,0.0010522037831195534,0.0009782107733590426,1151,1151,0.0007435237960248378,0.0014020492142592582,OT1/r_source
"window(within-subject, descriptive)",dalia_s1,0.03278819407819645,0.03320528498417551,0.03236610928282786,0.03190002116341447,0.032437690545473866,0.03127636125509236,1151,1151,0.02726762920850285,0.037443946438739606,OT1/std_retention
"window(within-subject, descriptive)",dalia_s1,-0.004370666458544444,-0.004222015780008237,-0.004518928538347458,-0.004357211619820541,-0.0041895373459241245,-0.0045068474079193325,1151,1151,-0.005936285109487715,-0.0029649052060237687,OT1/beta
"window(within-subject, descriptive)",dalia_s1,0.0303247348613599,0.030649856184985745,0.029986637493508453,0.029656458442185202,0.029961980014062202,0.029263599961139856,1151,1151,0.026038125094054107,0.03389426415623982,OT1/d_pair
"window(within-subject, descriptive)",dalia_s1,0.07826449597169788,0.07900860548140687,0.07751820902853887,0.07732861810866588,0.0785601214959511,0.07646221369769127,1151,1151,0.06869473747407176,0.08700058102249542,iMF1/r_source
"window(within-subject, descriptive)",dalia_s1,0.2788280743644351,0.28016392633740084,0.2775192520050152,0.27808023681783983,0.2802857853976029,0.2765180169495132,1151,1151,0.2620968045615629,0.2949586040794816,iMF1/std_retention
"window(within-subject, descriptive)",dalia_s1,0.1140078709440222,0.1146090543651383,0.11334574665592485,0.1133879825603509,0.11426373378841873,0.11245090828944151,1151,1151,0.10599024839828611,0.12320394810317477,iMF1/beta
"window(within-subject, descriptive)",dalia_s1,0.26341965608257767,0.26448169076808037,0.26234851198546216,0.2628687076525168,0.2642373622365728,0.26173547447314854,1151,1151,0.2509754419854183,0.2756966293567446,iMF1/d_pair
"window(within-subject, descriptive)",dalia_s1,0.11541243495744363,0.11951462848840276,0.11146392475165891,0.10242418445592691,0.10929160666114972,0.09847659615076541,1151,1151,0.06082206597533859,0.15534021887584762,OT1/Fbar_vs_M_A6_rmse
"window(within-subject, descriptive)",dalia_s1,0.13647475124210753,0.14924014642798095,0.12461309215286076,0.10027170888748617,0.11525517795515496,0.08805134686306292,1151,1151,-0.012577158044920253,0.24819900976066234,OT1/Fbar_vs_M_A6_pcc
"window(within-subject, descriptive)",dalia_s1,0.95928809787118,0.9631180549070827,0.9553014269784649,0.9785278666111097,0.9806590258316475,0.9763968329289894,1151,1151,0.9418083347792403,0.9955500069235261,OT1/Q_MSE
"window(within-subject, descriptive)",dalia_s1,0.34578401226761146,0.3499553617958988,0.34177934929542125,0.3265176531388112,0.3331423991124737,0.3204159044978039,1151,1151,0.28894417113927706,0.39369195975794685,OT1/Fbar_vs_GT_rmse
"window(within-subject, descriptive)",dalia_s1,0.0389956730796257,0.04141048507062805,0.03677332169809233,0.03464542515575886,0.03597412472590803,0.03335320204496384,256,64,0.02975158579647541,0.042929730378091335,OT1/rho_J
"window(within-subject, descriptive)",dalia_s1,0.45073303661774844,0.47973418562469305,0.42353989363327854,0.4183844327926636,0.4396314322948456,0.40029101222753527,256,64,0.3469057157635689,0.5158256590366364,iMF1/rho_J
