seed,B,solver,K,steps,nfe_per_sample,total_nfe,hr_err,ci_lo,ci_hi,ms_per_sample_gpu,ms_per_window_gpu
1,50,euler,50,1,1,50,7.266321713891005,6.854510435147288,7.682397427257548,0.6320985523203819,31.604927616019097
2,32,heun,1,16,32,32,10.974955617177253,10.635388850640433,11.337205234170517,20.330443661260606,20.330443661260606
2,32,heun,2,8,16,32,9.828198057469784,9.497123058581957,10.174872393806341,10.161026919205032,20.322053838410064
2,32,heun,4,4,8,32,7.822134047242941,7.472228966170733,8.1974249593305,5.080831960317541,20.323327841270164
2,32,heun,8,2,4,32,7.488607831371453,7.1343384515603985,7.868151431122021,2.539190367260492,20.313522938083935
2,32,heun,16,1,2,32,15.789171404615379,15.361162007600045,16.2127484302951,1.269109293343073,20.305748693489168
2,32,euler,1,32,32,32,10.962358041831088,10.614025224283859,11.330240723970666,nan,nan
2,32,euler,2,16,16,32,9.80623469873189,9.470148338334457,10.154334293358717,10.16180377708115,20.3236075541623
2,32,euler,4,8,8,32,7.621421786327806,7.276974366845814,7.986643486566297,5.079388232731421,20.317552930925682
2,32,euler,8,4,4,32,6.546180013336104,6.181160408003024,6.921000726180626,nan,nan
2,32,euler,16,2,2,32,6.657529580188058,6.277739365797271,7.0645408627872355,1.2689230197584267,20.302768316134827
2,32,euler,32,1,1,32,7.5335086186370726,7.115209330112977,7.9723497275631905,nan,nan
2,50,heun,1,25,50,50,11.140348382194677,10.795506469977092,11.500292403454473,31.77654942598187,31.77654942598187
2,50,heun,5,5,10,50,7.6038874258278675,7.250717258333791,7.9665288480137395,6.349899076017659,31.74949538008829
2,50,heun,25,1,2,50,15.276543004626209,14.848927713170445,15.70287848143707,1.269095275945045,31.727381898626124
2,50,euler,1,50,50,50,11.143373919676007,10.793857077793449,11.514340857238757,31.763404218800424,31.763404218800424
2,50,euler,5,10,10,50,7.396624772012615,7.037725726014784,7.759322844626535,6.349999186603737,31.74999593301869
2,50,euler,10,5,5,50,6.474487885604861,6.1103672772110675,6.8463688012709465,3.174975713145384,31.74975713145384
2,50,euler,25,2,2,50,6.598434887832342,6.212361450681487,7.006027791495539,1.2686835564840693,31.717088912101733
2,50,euler,50,1,1,50,7.5138782191849565,7.092544678245794,7.939798218167893,0.6322186937095492,31.61093468547746
