epoch,train_mse,val_mse,selection_metric,diag_hr_abs_err,diag_morph_corr,diag_amp_ratio,diag_beats_ratio,lr,epoch_time_s,elapsed_s,peak_mem_MiB,is_best,best_epoch,no_improve,event
16,0.47784344892610203,0.45998796820640564,0.45998796820640564,nan,nan,nan,nan,0.001,71.9253757710103,1093.0700870186556,19201.044921875,1,16,0,best
17,0.47845397049730476,0.46186062693595886,0.46186062693595886,nan,nan,nan,nan,0.001,71.91312593710609,1164.9832129557617,19201.044921875,0,16,1,
18,0.46248557513410393,0.452190637588501,0.452190637588501,nan,nan,nan,nan,0.001,72.00003056391142,1236.9832435196731,19201.044921875,1,18,0,best
19,0.4709245120937174,0.4658006727695465,0.4658006727695465,nan,nan,nan,nan,0.001,71.99450553092174,1308.9777490505949,19201.044921875,0,18,1,
20,0.46546381278471516,0.4550696313381195,0.4550696313381195,nan,nan,nan,nan,0.001,71.96336883096956,1380.9411178815644,19201.044921875,0,18,2,
21,0.4614348045804284,0.45921507477760315,0.45921507477760315,nan,nan,nan,nan,0.001,72.01770729594864,1452.958825177513,19201.044921875,0,18,3,
22,0.4546614763411609,0.453715056180954,0.453715056180954,nan,nan,nan,nan,0.001,71.95248941495083,1524.911314592464,19201.044921875,0,18,4,
23,0.3899414837360382,0.45104530453681946,0.45104530453681946,nan,nan,nan,nan,0.001,6.70334848202765,1531.6146630744915,19094.482421875,1,23,0,best
24,0.4588223705237562,0.46616819500923157,0.46616819500923157,nan,nan,nan,nan,0.001,72.02256523096003,1603.6372283054516,19201.044921875,0,23,1,
25,0.44622095308520576,0.45076102018356323,0.45076102018356323,nan,nan,nan,nan,0.001,72.01091948803514,1675.6481477934867,19201.044921875,1,25,0,best
26,0.44087156653404236,0.45202580094337463,0.45202580094337463,nan,nan,nan,nan,0.001,72.13477335404605,1747.7829211475328,19201.044921875,0,25,1,
27,0.43825424787673084,0.45064371824264526,0.45064371824264526,nan,nan,nan,nan,0.001,71.97098111291416,1819.753902260447,19201.044921875,1,27,0,best
28,0.4512080960653045,0.4496884346008301,0.4496884346008301,nan,nan,nan,nan,0.001,71.96620388980955,1891.7201061502565,19201.044921875,1,28,0,best
29,0.4432649942961606,0.45016470551490784,0.45016470551490784,nan,nan,nan,nan,0.001,72.0186298629269,1963.7387360131834,19201.044921875,0,28,1,
30,0.44324052997610786,0.44578826427459717,0.44578826427459717,nan,nan,nan,nan,0.001,71.9810429199133,2035.7197789330967,19201.044921875,1,30,0,best
31,0.42104027952466694,0.4551251232624054,0.4551251232624054,nan,nan,nan,nan,0.001,6.668621155899018,2042.3884000889957,19094.482421875,0,30,1,
32,0.4359995183619586,0.4842853248119354,0.4842853248119354,nan,nan,nan,nan,0.001,71.978106103139,2114.3665061921347,19201.044921875,0,30,2,
33,0.442184994708408,0.458737850189209,0.458737850189209,nan,nan,nan,nan,0.001,71.98787099006586,2186.3543771822006,19201.044921875,0,30,3,
34,0.4331198054281148,0.4454347789287567,0.4454347789287567,nan,nan,nan,nan,0.001,71.9969072479289,2258.3512844301295,19201.044921875,1,34,0,best
35,0.42130821320143613,0.4644240140914917,0.4644240140914917,nan,nan,nan,nan,0.001,71.99850815697573,2330.349792587105,19201.044921875,0,34,1,
36,0.4314818581396883,0.4643963575363159,0.4643963575363159,nan,nan,nan,nan,0.001,71.99924389109947,2402.3490364782047,19201.044921875,0,34,2,
37,0.42457607361403377,0.4545420706272125,0.4545420706272125,nan,nan,nan,nan,0.001,71.99224166502245,2474.341278143227,19201.044921875,0,34,3,
38,0.41838651272383603,0.4487195312976837,0.4487195312976837,nan,nan,nan,nan,0.001,72.00871654390357,2546.3499946871307,19201.044921875,0,34,4,
39,0.41826828036989483,0.4506171643733978,0.4506171643733978,nan,nan,nan,nan,0.001,6.6935406918637455,2553.0435353789944,19094.482421875,0,34,5,
