seed,arm,nfe,metric,value,ci_lo,ci_hi
1,I,1,MAE,0.40164111366721494,0.3964931234246006,0.4068104811381027
1,I,1,RMSE,0.4956999918993006,0.4909896863535469,0.5003565794492925
1,I,1,FD_kanflow,4.213446874751398,,
1,I,1,Micro_F1,0.6646816190423065,,
1,I,1,ms_per_window,1.0235930359010708,,
1,I,2,HR,8.557625786492428,8.210250018900165,8.92013644518912
1,I,2,Rpeak_F1,0.6769509723685905,0.6683042386894027,0.6852580954031047
1,I,2,RR_MAE_ms,21.31836363161228,21.111023269273776,21.51304418239093
1,I,2,MAE,0.40297545654603195,0.39777566728384656,0.4081347745555255
1,I,2,RMSE,0.49980351432404596,0.4950861102090807,0.5044691480010385
1,I,2,FD_kanflow,4.157401966156385,,
1,I,2,Micro_F1,0.6772035365012277,,
1,I,2,ms_per_window,2.5612573365260367,,
1,I,4,HR,8.179424966379077,7.820117706764374,8.546012914778471
1,I,4,Rpeak_F1,0.6809798362774929,0.6722621971239412,0.6892528992191939
1,I,4,RR_MAE_ms,21.005867481057713,20.77190140025474,21.244994042476684
1,I,4,MAE,0.39582553045865415,0.39060414293811924,0.40106351632365866
1,I,4,RMSE,0.4936632200112604,0.4889429711033991,0.4984323058545433
1,I,4,FD_kanflow,5.1017845719834085,,
1,I,4,Micro_F1,0.6817797500501392,,
1,I,4,ms_per_window,4.247163985800062,,
1,I,1,HR_consensus_K16,6.283163528113484,5.9114636098225954,6.661701601683936
1,S,1,HR,9.29026693389166,8.926570181254718,9.684657842340242
1,S,1,Rpeak_F1,0.634220107795914,0.6255982550398411,0.642601362757818
1,S,1,RR_MAE_ms,13.071381311138659,12.850377401701017,13.294922729459147
1,S,1,MAE,0.4092183148643133,0.40527118562146375,0.4132134677332119
1,S,1,RMSE,0.49161009843592524,0.4879689708233288,0.49539257769623507
1,S,1,FD_kanflow,7.281820015099306,,
1,S,1,Micro_F1,0.6441168039287355,,
1,S,1,ms_per_window,0.1365435570440792,,
1,S,2,HR,8.699403979917284,8.3498250847953,9.077562607031318
1,S,2,Rpeak_F1,0.6239543577104654,0.6155223246780502,0.632104078706636
1,S,2,RR_MAE_ms,13.014834575216188,12.756339307423941,13.295648509670528
1,S,2,MAE,0.4309280086565035,0.42705006244889565,0.43494812589365023
1,S,2,RMSE,0.5201535204015167,0.5165469531370017,0.5238254283735743
1,S,2,FD_kanflow,5.663848552686879,,
1,S,2,Micro_F1,0.6283147713609252,,
1,S,2,ms_per_window,0.298115419191523,,
1,S,4,HR,9.008873954259183,8.649611452351346,9.381003252351448
1,S,4,Rpeak_F1,0.6115332908324359,0.6033800580428537,0.6194868842936786
1,S,4,RR_MAE_ms,12.915513788169406,12.661204463883735,13.179975139826576
1,S,4,MAE,0.4443737806317259,0.440433331709079,0.44848188561546476
1,S,4,RMSE,0.5377167439214279,0.5340932228523136,0.5414483599168922
1,S,4,FD_kanflow,5.974154891722996,,
1,S,4,Micro_F1,0.6174780208312316,,
1,S,4,ms_per_window,0.5798532515098733,,
1,S,1,HR_consensus_K16,6.764823016841818,6.383109221465768,7.15957917593091
1,contrast,1,H1_HR,-1.8997551400809707,-2.029276375477996,-1.7761319551094985
1,contrast,1,H1_F1,0.05520977453763919,0.05276866989109085,0.057651354528590174
1,contrast,1,H2_HR,-4.753910211993429,-4.914537274394972,-4.596584266161351
1,contrast,1,H3_HR,-1.7341301062584915,-1.8935787577379848,-1.5751649371489378
1,contrast,1,H3_F1,0.02367024542491966,0.01975859860245576,0.02770046739235346
