arm,nfe,metric,value,ci_lo,ci_hi,diff_vs_I,diff_ci_lo,diff_ci_hi
P,2,MAE,0.4555491152831774,0.4521444274012904,0.4591494208371259,0.04072584611142009,0.03858595639842833,0.04289279213227548
P,2,RMSE,0.5439796400612209,0.5406714078087274,0.5473963949836503,0.03846282212087661,0.03651532862287049,0.04043300676670984
P,2,FD_kanflow,7.793375035731671,,,,,
P,2,Micro_F1,0.6450057924634289,,,,,
P,2,ms_per_window,3.177943666246808,,,,,
P,4,HR,8.195175942092064,7.831454012973215,8.566952869510185,-0.7368758404077576,-0.8419466739333127,-0.6284534404859751
P,4,Rpeak_F1,0.6321779425813441,0.6235404105411375,0.6402486331896227,-0.04415938688825916,-0.047589117149796835,-0.040837451730768234
P,4,RR_MAE_ms,8.965962600923161,8.720617759406279,9.239843209101194,-10.133899727234567,-10.324486971828495,-9.940577397319425
P,4,MAE,0.4436496580804831,0.4400824058194031,0.4474409043850615,0.03788080694141393,0.03557914384174528,0.040117136625273754
P,4,RMSE,0.5344445449325906,0.5309909393335898,0.5379956536102841,0.03587863595632166,0.033818441812531574,0.03794628147248026
P,4,FD_kanflow,5.447371855271953,,,,,
P,4,Micro_F1,0.6426546602982716,,,,,
P,4,ms_per_window,6.205969641344164,,,,,
P,1,HR_consensus_K16,6.155614802915763,5.776759834885114,6.553298407320706,,,
P,1,HR_no_guidance,8.959752878339254,8.600616064167554,9.33063902803421,,,
P,1,Rpeak_F1_no_guidance,0.6355066323844186,0.6271148249332397,0.6435660734649942,,,
P,1,FD_kanflow_no_guidance,8.930019721997866,,,,,
B,1,HR,8.630054921829391,8.278781742883346,9.00516359870297,-1.4998651532713023,-1.6257570493272069,-1.3750584172259974
B,1,Rpeak_F1,0.6217365978478456,0.6132797142928271,0.6298955873199964,-0.05237663929475524,-0.05602312960615215,-0.04899310642868595
B,1,RR_MAE_ms,10.14475524292413,9.879766511076312,10.415715218921031,-10.643264431373124,-10.84167807541837,-10.432383957888675
B,1,MAE,0.4405159602654648,0.43671894255981003,0.44450111325141745,0.03711927922508056,0.03617449576464152,0.03807920379890768
B,1,RMSE,0.53158395635763,0.5280507687483901,0.5352873969249878,0.03902765156589239,0.038022757226243105,0.04005480999174912
B,1,FD_kanflow,4.370525610317053,,,,,
B,1,Micro_F1,0.6286408029022696,,,,,
B,1,ms_per_window,1.585776926245949,,,,,
B,2,HR,8.157327773011131,7.774469964114698,8.545686452064274,-1.2317437222894838,-1.3479747458993785,-1.113170678523235
B,2,Rpeak_F1,0.6247473425021143,0.6163991945241198,0.6329208754300296,-0.04755473211296293,-0.05075491600987637,-0.04431716829913991
B,2,RR_MAE_ms,9.42717951559823,9.162189806797954,9.70341388535137,-10.625479127427889,-10.817949871368247,-10.429776075895173
B,2,MAE,0.45463413576407136,0.4510171689521659,0.4585334998997243,0.0398108665923141,0.038119011897239555,0.04154149218636216
B,2,RMSE,0.5470572071777857,0.5435659406201796,0.5506788079145235,0.041540389237441355,0.03997093985826598,0.043176451610218915
B,2,FD_kanflow,6.559491020922273,,,,,
B,2,Micro_F1,0.6334880691381324,,,,,
B,2,ms_per_window,3.3085497879299273,,,,,
B,4,HR,8.300513761133882,7.932927669675116,8.69377557067842,-0.6512678810060322,-0.7583518791569762,-0.538338154695688
B,4,Rpeak_F1,0.6225026588725205,0.6140684000918544,0.6306855911691429,-0.053834670597082634,-0.05709883697556338,-0.050579953312655045
