round,global_step,frac_of_T,s,beta_h005,beta_h025,beta_h050,beta_h075,beta_h095,is_best,no_improve
148,32560,0.493333,0.506667,1.0,1.0,1.0,1.0,1.0,0,13
149,32780,0.496667,0.503333,1.0,1.0,1.0,1.0,1.0,0,14
150,33000,0.5,0.5,1.0,1.0,1.0,1.0,1.0,0,15
151,33220,0.503333,0.496667,1.0,1.0,1.0,1.0,1.0,0,16
152,33440,0.506667,0.493333,1.0,1.0,1.0,1.0,1.0,0,17
153,33660,0.51,0.49,1.0,1.0,1.0,1.0,1.0,0,18
154,33880,0.513333,0.486667,1.0,1.0,1.0,1.0,1.0,0,19
155,34100,0.516667,0.483333,1.0,1.0,1.0,1.0,1.0,0,20
156,34320,0.52,0.48,1.0,1.0,1.0,1.0,1.0,0,21
157,34540,0.523333,0.476667,1.0,1.0,1.0,1.0,1.0,0,22
158,34760,0.526667,0.473333,1.0,1.0,1.0,1.0,1.0,0,23
159,34980,0.53,0.47,1.0,1.0,1.0,1.0,1.0,0,24
160,35200,0.533333,0.466667,1.0,1.0,1.0,1.0,1.0,0,25
161,35420,0.536667,0.463333,1.0,1.0,1.0,1.0,1.0,0,26
162,35640,0.54,0.46,1.0,1.0,1.0,1.0,1.0,0,27
163,35860,0.543333,0.456667,1.0,1.0,1.0,1.0,1.0,0,28
164,36080,0.546667,0.453333,1.0,1.0,1.0,1.0,1.0,0,29
165,36300,0.55,0.45,1.0,1.0,1.0,1.0,1.0,0,30
166,36520,0.553333,0.446667,1.0,1.0,1.0,1.0,1.0,0,31
167,36740,0.556667,0.443333,1.0,1.0,1.0,1.0,1.0,0,32
168,36960,0.56,0.44,1.0,1.0,1.0,1.0,1.0,0,33
169,37180,0.563333,0.436667,1.0,1.0,1.0,1.0,1.0,0,34
170,37400,0.566667,0.433333,1.0,1.0,1.0,1.0,1.0,0,35
171,37620,0.57,0.43,1.0,1.0,1.0,1.0,1.0,0,36
172,37840,0.573333,0.426667,1.0,1.0,1.0,1.0,1.0,0,37
173,38060,0.576667,0.423333,1.0,1.0,1.0,1.0,1.0,0,38
174,38280,0.58,0.42,1.0,1.0,1.0,1.0,1.0,0,39
175,38500,0.583333,0.416667,1.0,1.0,1.0,1.0,1.0,0,40
176,38720,0.586667,0.413333,1.0,1.0,1.0,1.0,1.0,0,41
177,38940,0.59,0.41,1.0,1.0,1.0,1.0,1.0,0,42
178,39160,0.593333,0.406667,1.0,1.0,1.0,1.0,1.0,0,43
179,39380,0.596667,0.403333,1.0,1.0,1.0,1.0,1.0,0,44
180,39600,0.6,0.4,1.0,1.0,1.0,1.0,1.0,0,45
181,39820,0.603333,0.396667,1.0,1.0,1.0,1.0,1.0,0,46
182,40040,0.606667,0.393333,1.0,1.0,1.0,1.0,1.0,0,47
183,40260,0.61,0.39,1.0,1.0,1.0,1.0,1.0,0,48
184,40480,0.613333,0.386667,1.0,1.0,1.0,1.0,1.0,0,49
185,40700,0.616667,0.383333,1.0,1.0,1.0,1.0,1.0,0,50
186,40920,0.62,0.38,1.0,1.0,1.0,1.0,1.0,0,51
187,41140,0.623333,0.376667,1.0,1.0,1.0,1.0,1.0,0,52
188,41360,0.626667,0.373333,1.0,1.0,1.0,1.0,1.0,0,53
189,41580,0.63,0.37,1.0,1.0,1.0,1.0,1.0,0,54
190,41800,0.633333,0.366667,1.0,1.0,1.0,1.0,1.0,0,55
191,42020,0.636667,0.363333,1.0,1.0,1.0,1.0,1.0,0,56
192,42240,0.64,0.36,1.0,1.0,1.0,1.0,1.0,0,57
193,42460,0.643333,0.356667,1.0,1.0,1.0,1.0,1.0,0,58
194,42680,0.646667,0.353333,1.0,1.0,1.0,1.0,1.0,0,59
195,42900,0.65,0.35,1.0,1.0,1.0,1.0,1.0,0,60
196,43120,0.653333,0.346667,1.0,1.0,1.0,1.0,1.0,0,61
197,43340,0.656667,0.343333,1.0,1.0,1.0,1.0,1.0,0,62
198,43560,0.66,0.34,1.0,1.0,1.0,1.0,1.0,0,63
199,43780,0.663333,0.336667,1.0,1.0,1.0,1.0,1.0,0,64
200,44000,0.666667,0.333333,1.0,1.0,1.0,1.0,1.0,0,65
201,44220,0.67,0.33,1.0,1.0,1.0,1.0,1.0,0,66
202,44440,0.673333,0.326667,1.0,1.0,1.0,1.0,1.0,0,67
203,44660,0.676667,0.323333,1.0,1.0,1.0,1.0,1.0,0,68
204,44880,0.68,0.32,1.0,1.0,1.0,1.0,1.0,0,69
205,45100,0.683333,0.316667,1.0,1.0,1.0,1.0,1.0,0,70
206,45320,0.686667,0.313333,1.0,1.0,1.0,1.0,1.0,0,71
207,45540,0.69,0.31,1.0,1.0,1.0,1.0,1.0,0,72
208,45760,0.693333,0.306667,1.0,1.0,1.0,1.0,1.0,0,73
209,45980,0.696667,0.303333,1.0,1.0,1.0,1.0,1.0,0,74
210,46200,0.7,0.3,1.0,1.0,1.0,1.0,1.0,0,75
211,46420,0.703333,0.296667,1.0,1.0,1.0,1.0,1.0,0,76
212,46640,0.706667,0.293333,1.0,1.0,1.0,1.0,1.0,0,77
213,46860,0.71,0.29,1.0,1.0,1.0,1.0,1.0,0,78
214,47080,0.713333,0.286667,1.0,1.0,1.0,1.0,1.0,0,79
215,47300,0.716667,0.283333,1.0,1.0,1.0,1.0,1.0,0,80
216,47520,0.72,0.28,1.0,1.0,1.0,1.0,1.0,0,81
