arm,nfe,K,rule,total_nfe,hr_err,ci_lo,ci_hi
PENGUIN,1,1,mean,1,7.328804273720836,6.896245370002915,7.776290260328445
PENGUIN,1,1,trim20,1,7.328804273720836,6.896245370002915,7.776290260328445
PENGUIN,1,2,median,2,7.742728985392362,7.319171458116513,8.179438774711308
PENGUIN,1,2,mean,2,7.742728985392362,7.319171458116513,8.179438774711308
PENGUIN,1,2,trim20,2,7.742728985392362,7.319171458116513,8.179438774711308
PENGUIN,1,4,median,4,7.639545507529868,7.228189801539074,8.068132446527416
PENGUIN,1,4,mean,4,7.775690299243847,7.371712971249605,8.201448076611896
PENGUIN,1,4,trim20,4,7.639545507529868,7.228189801539074,8.068132446527416
PENGUIN,1,8,median,8,7.541101411970241,7.117256192298788,7.973109198492835
PENGUIN,1,8,mean,8,7.534234162940069,7.124826665495915,7.948221460831549
PENGUIN,1,8,trim20,8,6.936698341229063,6.532280203760556,7.3653838716790085
PENGUIN,1,16,median,16,7.437505470354341,7.02628973941013,7.860354673895303
PENGUIN,1,16,mean,16,7.342038339242019,6.944431084876512,7.767478407811498
PENGUIN,1,16,trim20,16,6.570089243092076,6.173124195685354,6.981664318440283
PENGUIN,1,32,median,32,7.365757264068636,6.945644991901604,7.78828381206175
PENGUIN,1,32,mean,32,7.223570831886932,6.83270813051705,7.64425010521909
PENGUIN,1,32,trim20,32,6.421777055948172,6.0252003285101035,6.8254568748750675
PENGUIN,50,1,median,50,9.644271355518871,9.283733982638939,10.003710208722671
PENGUIN,50,1,mean,50,9.644271355518871,9.283733982638939,10.003710208722671
PENGUIN,50,1,trim20,50,9.644271355518871,9.283733982638939,10.003710208722671
PENGUIN,50,2,median,100,8.945578281037674,8.614468980577605,9.288728377831053
PENGUIN,50,2,mean,100,8.945578281037674,8.614468980577605,9.288728377831053
PENGUIN,50,2,trim20,100,8.945578281037674,8.614468980577605,9.288728377831053
PENGUIN,50,4,median,200,7.5483282356230195,7.201091050558509,7.9020431191925615
PENGUIN,50,4,mean,200,8.512806123141734,8.180164763447193,8.851868105355743
PENGUIN,50,4,trim20,200,7.5483282356230195,7.201091050558509,7.9020431191925615
