patient,n_windows,n_omega_hr,ham_K1_S5,ham_K1_S10,ham_K2_S5,ham_K1_S15,ham_K3_S5,ham_K1_S20,ham_K2_S10,ham_K4_S5,ham_K1_S25,ham_K5_S5,ham_K16_S5,ham_K16_S10,ham_K16_S15,ham_K16_S20,ham_K16_S25,proj_K1_S5,proj_K1_S10,proj_K2_S5,proj_K1_S15,proj_K3_S5,proj_K1_S20,proj_K2_S10,proj_K4_S5,proj_K1_S25,proj_K5_S5,proj_K16_S5,proj_K16_S10,proj_K16_S15,proj_K16_S20,proj_K16_S25,ppg_findpeaks,ppg_official,mech_I_S5,mech_C_S5,mech_G_S5,mech_SD_S5,mech_MAD_S5,mech_wRMS_S5,mech_I_S10,mech_C_S10,mech_G_S10,mech_SD_S10,mech_MAD_S10,mech_wRMS_S10,mech_I_S15,mech_C_S15,mech_G_S15,mech_SD_S15,mech_MAD_S15,mech_wRMS_S15,mech_I_S20,mech_C_S20,mech_G_S20,mech_SD_S20,mech_MAD_S20,mech_wRMS_S20,mech_I_S25,mech_C_S25,mech_G_S25,mech_SD_S25,mech_MAD_S25,mech_wRMS_S25
3507,15.0,15.0,4.295356,3.808476,4.006558,3.62992,4.024928,3.763905,3.758161,3.952815,3.639205,4.033925,3.831609,3.406178,2.969712,3.259665,3.116569,4.98524,4.737143,4.888453,5.037576,3.879619,4.995974,4.577105,3.63192,5.301936,3.199997,3.398052,2.021735,2.186498,2.209339,2.397253,5.92714,,3.053089,2.898876,0.154213,0.506124,0.12144,0.950829,3.129909,2.889684,0.240225,0.823619,0.161434,1.023125,3.173635,2.89316,0.280475,1.023049,0.178703,1.042074,3.249698,2.879944,0.369754,1.199557,0.193175,1.050219,3.268935,2.888302,0.380633,1.269228,0.194092,1.054541
3508,15.0,15.0,12.863323,13.389234,12.659767,12.948529,12.696972,13.674862,13.243976,12.799988,13.271953,13.354747,13.158609,13.05636,12.751146,12.863466,13.269505,11.493218,11.830935,10.555418,11.984071,10.881013,12.775789,10.713539,10.467119,12.859342,8.323971,8.865632,6.809657,6.996473,7.401754,7.363682,34.693121,,7.680422,7.626218,0.054203,2.312159,1.139423,0.979884,8.145333,7.699562,0.445772,3.458527,1.443536,1.041043,7.944672,7.093003,0.85167,5.154689,1.811543,1.055924,7.984835,7.34456,0.640275,5.526016,1.879299,1.061338,7.466715,7.739488,-0.272773,3.599314,1.960507,1.065232
3513,15.0,15.0,2.252692,2.744705,2.169349,2.587217,2.338125,2.550265,2.60335,2.242193,2.827551,2.310108,2.223366,2.445906,2.085902,2.238659,2.362221,7.93184,7.905882,7.7857,8.041835,7.530266,8.289348,7.74852,7.495065,8.241607,7.136536,7.20313,7.460041,7.28584,7.019964,7.014718,3.814082,,1.285791,1.244406,0.041385,0.198279,0.137695,1.003261,1.549415,1.238854,0.310561,1.508165,0.154648,1.080188,1.490149,1.237934,0.252216,1.448291,0.175153,1.09703,1.430735,1.231977,0.198757,1.179849,0.172727,1.103574,1.426305,1.23246,0.193844,1.144305,0.178025,1.106935
3516,16.0,16.0,9.910615,9.562412,9.902541,9.320128,10.225634,9.172128,9.452463,9.979551,9.105159,10.137933,10.068057,10.056745,9.186824,9.398125,9.386758,7.73586,6.863089,6.025158,6.992337,6.279252,7.084561,6.226719,5.615923,7.354202,5.445011,5.204414,4.299623,4.378634,3.930111,3.884838,8.232219,,7.729498,7.734121,-0.004623,0.259472,0.107848,0.986956,7.728437,7.725749,0.002688,0.276487,0.125568,1.054125,7.874673,7.732894,0.141779,1.516298,0.133659,1.073681,7.636258,7.732678,-0.09642,1.236994,0.14059,1.083104,7.771957,7.735701,0.036255,1.804449,0.147581,1.088308
3518,16.0,16.0,5.110303,5.329565,4.871687,5.0932,4.344451,5.161266,5.045652,4.432089,4.964148,4.440826,4.523469,4.632935,4.601832,4.631256,4.64982,13.715563,14.379763,13.801794,14.351425,13.181265,14.418777,14.096992,13.366895,14.341885,13.058502,12.679134,12.982577,13.2462,13.331976,13.063876,4.664974,,4.499235,4.084023,0.415212,1.607692,0.138827,1.036885,4.540691,4.099988,0.440703,1.727546,0.147817,1.095144,4.484029,4.097566,0.386463,1.503122,0.151759,1.115057,4.374653,4.09913,0.275523,1.045569,0.156407,1.123656,4.420077,4.097836,0.322241,1.221087,0.158041,1.127954
3521,15.0,15.0,1.166902,1.233631,1.131465,1.255269,1.078123,1.272093,1.183782,1.085648,1.244223,1.07604,1.050952,1.073498,1.08483,1.065931,1.075748,1.149387,1.294373,1.105428,1.627698,0.734162,1.930448,1.251094,0.73477,1.997957,0.722289,0.706895,0.728223,0.72642,0.720438,0.711014,3.201756,,1.166902,1.050952,0.115949,0.286521,0.136645,1.019638,1.233631,1.073498,0.160133,0.418634,0.152468,1.091099,1.255269,1.08483,0.170439,0.472272,0.172272,1.108998,1.272093,1.065931,0.206162,0.446999,0.165699,1.116273,1.244223,1.075748,0.168475,0.414961,0.15912,1.119866
3522,15.0,15.0,3.347705,3.648383,3.350645,3.69648,2.982147,4.007327,3.534522,3.008708,4.247091,2.87807,2.857724,2.940833,2.883649,3.446526,3.852502,12.434924,12.82074,11.84393,12.64694,12.43856,12.589649,12.017827,11.537213,12.551719,10.626223,11.115762,10.750448,10.524756,10.48269,10.447544,3.556325,,0.676703,0.184547,0.492156,1.13188,0.150888,1.056673,1.002036,0.200249,0.801787,1.452694,0.204543,1.103311,1.066441,0.198467,0.867973,1.681496,0.221304,1.112961,1.387586,0.743714,0.643871,2.069134,0.750912,1.114941,1.587968,1.111066,0.476902,2.290884,1.086429,1.115178
3524,15.0,15.0,8.603794,8.787657,8.442402,9.043622,8.057995,8.301852,8.685084,7.888755,8.602595,8.06847,8.084589,7.641602,8.592707,8.071242,8.575769,11.971977,7.53661,11.699565,7.259009,11.826863,6.810023,7.79617,11.21801,6.339762,11.28939,11.897323,6.293603,3.995969,5.077152,4.308712,10.803136,,3.072527,3.021673,0.050854,0.221046,0.147379,1.019065,3.119431,3.013017,0.106414,0.50848,0.164426,1.077552,3.228054,3.02874,0.199315,0.924357,0.179125,1.096442,3.229227,3.029117,0.20011,0.920241,0.181988,1.104458,3.313697,3.029769,0.283929,1.236866,0.181941,1.108732
3552,16.0,16.0,2.073857,2.775177,1.951511,2.957201,1.660077,2.829688,2.70238,1.831202,2.795861,1.955498,1.710807,2.566988,2.458493,2.21651,1.982541,3.245199,3.420891,3.181647,3.680494,1.54364,3.793535,3.394311,2.107457,3.757462,1.183737,0.442935,0.440025,1.199016,0.548674,0.768395,3.266222,,0.378452,0.288362,0.09009,0.351256,0.211049,0.986181,0.575689,0.310006,0.265683,0.991229,0.234658,1.063044,0.712005,0.278063,0.433942,1.504675,0.259094,1.084728,0.584481,0.292184,0.292297,0.946298,0.265256,1.092279,0.598609,0.289062,0.309547,0.980809,0.251227,1.095292
3553,15.0,15.0,1.837271,1.901011,1.810476,1.907376,1.805887,1.897501,1.86663,1.787589,1.897607,1.795245,1.774471,1.775367,1.774254,1.777072,1.771915,1.053637,1.105514,1.016376,1.14839,1.015258,1.159148,1.06287,0.995198,1.160474,0.972332,0.954303,0.945555,0.949845,0.94992,0.954617,2.156803,,1.837271,1.774471,0.0628,0.207837,0.1343,1.077851,1.901011,1.775367,0.125643,0.410511,0.149224,1.132124,1.907376,1.774254,0.133122,0.427393,0.162909,1.145289,1.897501,1.777072,0.120429,0.380797,0.169143,1.149859,1.897607,1.771915,0.125692,0.392618,0.175843,1.151981
