nfe,metric,orientation,arm,U,S,effect,ci_lo,ci_hi,rel_improvement,ci_excludes_zero,n_clusters,n_subjects,effect_an0,rel_an0,effect_k2s,rel_k2s
4,background__a2_sq,lower_better,E,0.15809309216969752,0.16937890454812018,-0.011285812378422636,-0.01165799254982009,-0.010933783932786984,-0.07138713161678463,True,12400,2,-0.01496049934367764,-0.08739708395381672,-0.007611125413167634,-0.0524877285734249
4,background__a3_dabs,lower_better,E,0.054501144093210455,0.03983463912740724,0.014666504965803219,0.014543516813844127,0.014790779868360457,0.2691045336721713,True,12400,2,0.01379371752731735,0.23588139110340212,0.015539292404289088,0.30755685167225394
4,background__a4_amp,lower_better,E,0.49803063419740606,0.489442723077663,0.008587911119742947,0.00582572943719132,0.011339362481209238,0.017243740705996477,True,12400,2,-0.014812073735729504,-0.031825512825084605,0.0319878959752154,0.06028102516621653
4,background__a5_energy,higher_better,E,0.9228178319222607,0.908209433982087,-0.014608397940173816,-0.017883549936603942,-0.011409789584484097,-0.015830207690876518,True,12400,2,-0.01019647510090739,-0.009027926654929599,-0.019020320779440242,-0.02655732802815445
4,background__n,higher_better,E,400.1147443284387,400.1147443284387,0.0,0.0,0.0,0.0,False,12400,2,0.0,0.0,0.0,0.0
4,qrs_rmse_core,lower_better,E,0.587402233521908,0.5849113086398047,0.0024909248821033264,0.0020611217715599014,0.002917565382579719,0.00424057781865829,True,12400,2,0.0035684595392102493,0.006076122991941315,0.0014133902249964037,0.002405720296593889
4,qrs_ptp_dev,lower_better,E,0.48694239250164223,0.5175350310057291,-0.03059263850408679,-0.03204800115357176,-0.029148847192732714,-0.06282599127777452,True,12400,2,-0.04745998778359264,-0.09839191982148406,-0.013725289224580947,-0.027923705031653628
4,qrs_energy_dev,lower_better,E,0.6407242583122728,0.6271879014770609,0.013536356835211677,0.011028428678591641,0.016547644217574112,0.021126649505776224,True,12400,2,0.005396020504177394,0.00725746128159273,0.02167669316624596,0.04029611916030513
4,qrs_slope_dev,lower_better,E,0.468842247339916,0.5204631220036633,-0.05162087466374729,-0.0532294241923698,-0.050085403256953674,-0.11010286499697967,True,12400,2,-0.0698550023701034,-0.15011891731884336,-0.03338674695739117,-0.07068171418475742
4,qrs_deriv_rmse,lower_better,E,0.3209976751293294,0.3124484618374968,0.00854921329183266,0.008316620595609893,0.008766112240725023,0.026633256108126484,True,12400,2,0.011102125906815953,0.03504212561394195,0.005996300676849368,0.01844033564349207
4,qrs_maxderiv_dev,lower_better,E,0.468842247339916,0.5204631220036633,-0.05162087466374729,-0.0532294241923698,-0.050085403256953674,-0.11010286499697967,True,12400,2,-0.0698550023701034,-0.15011891731884336,-0.03338674695739117,-0.07068171418475742
4,qrs_curvature_err,lower_better,E,0.21436754231131114,0.19740401155964216,0.016963530751669016,0.01678781352579388,0.01714673151154082,0.0791329254828794,True,12400,2,0.01898007423083227,0.08943283029611818,0.01494698727250576,0.06903667038333358
4,n_beats,neutral,E,9.61168010846178,9.61168010846178,0.0,0.0,0.0,0.0,False,12400,2,0.0,0.0,0.0,0.0
4,F1__err_energy,neutral,E,0.019022161112950478,0.01741556276661911,0.0016065983463313662,0.001546737232417272,0.0016635552691861106,-0.08445929654320816,True,12400,2,-0.0008921506645446182,-0.041006336205563154,-0.0023210460281181144,-0.14250113832856856
4,F1__gt_energy,neutral,E,0.011959168088966245,0.011959168088966245,0.0,0.0,0.0,0.0,False,12400,2,0.0,0.0,0.0,0.0
4,F1__pred_energy,neutral,E,0.012997408892479594,0.011766638067048866,0.001230770825430728,0.0011736511707810444,0.0012850380248817033,-0.09469355281596642,True,12400,2,-0.0009239400290490861,-0.06930012164937632,-0.0015376016218123702,-0.12143076128141034
4,F1__ratio_dev,lower_better,E,0.9028300155826157,0.806313465411712,0.09651655017090366,0.09076090590780679,0.10212898262008668,0.10690445433254614,True,12400,2,0.042909929801388996,0.04638119179586561,0.15012317054041832,0.17049724151224216
4,F2__err_energy,neutral,E,0.01945130683360901,0.018347453488009098,0.0011038533455999095,0.0010696388912798268,0.001137888929277188,-0.05674957240881187,True,12400,2,-0.0012682085408401054,-0.06018310533213168,-0.0009394981503597135,-0.05269165496840232
4,F2__gt_energy,neutral,E,0.01488605580006791,0.01488605580006791,0.0,0.0,0.0,0.0,False,12400,2,0.0,0.0,0.0,0.0
4,F2__pred_energy,neutral,E,0.008203800909749445,0.007749138905864759,0.0004546620038846861,0.00043576437748078664,0.000473613597517872,-0.055420896836289965,True,12400,2,-0.0007271132122697099,-0.0936317963197253,-0.00018221079549966227,-0.021084487224624596
4,F2__ratio_dev,lower_better,E,0.4838705501460174,0.4999377717650924,-0.016067221619075034,-0.017423963984547822,-0.01466111255784946,-0.033205620003586574,True,12400,2,-0.03587024456390343,-0.06672157226050095,0.0037358013257533657,0.008685280247523821
4,F3__err_energy,neutral,E,0.023688342290944173,0.022728910899838865,0.0009594313911053113,0.0009192716552559811,0.0009996096509865585,-0.04050225969050141,True,12400,2,-0.0013828962103916928,-0.05925406284783474,-0.0005359665718189299,-0.022296392148148183
4,F3__gt_energy,neutral,E,0.014814996018610225,0.014814996018610225,0.0,0.0,0.0,0.0,False,12400,2,0.0,0.0,0.0,0.0
4,F3__pred_energy,neutral,E,0.009462965255157232,0.009025355983104133,0.00043760927205309944,0.00041771688310339515,0.0004576704124646948,-0.04624441285088793,True,12400,2,-0.0007603949651083795,-0.08385555142077401,-0.00011482357899781946,-0.011647737040614357
4,F3__ratio_dev,lower_better,E,0.4401939509165892,0.45212443641942235,-0.01193048550283323,-0.01340426038499775,-0.010317076010719654,-0.027102792934775743,True,12400,2,-0.029500202518325188,-0.06442284790239576,0.005639231512658729,0.01334815656584046
4,F4__err_energy,neutral,E,0.02128031459241752,0.019904745154912883,0.0013755694375046357,0.0013476170450191353,0.0014025633661910453,-0.06464046532445399,True,12400,2,-0.0016197865190750707,-0.07642935450196522,-0.0011313523559342007,-0.052947645879017936
