model,B,n_cal,method,K,S,frequency,entropy_nats,is_fullval
CD,16,100,ERM,4,4,0.0,-0.0,False
CD,16,100,ERM,2,8,0.0,-0.0,False
CD,16,100,ERM,1,16,0.0,-0.0,False
CD,16,200,UCB,16,1,1.0,-0.0,True
CD,16,200,UCB,8,2,0.0,-0.0,False
CD,16,200,UCB,4,4,0.0,-0.0,False
CD,16,200,UCB,2,8,0.0,-0.0,False
CD,16,200,UCB,1,16,0.0,-0.0,False
CD,16,200,ERM,16,1,1.0,-0.0,True
CD,16,200,ERM,8,2,0.0,-0.0,False
CD,16,200,ERM,4,4,0.0,-0.0,False
CD,16,200,ERM,2,8,0.0,-0.0,False
CD,16,200,ERM,1,16,0.0,-0.0,False
PENGUIN,32,5,UCB,32,1,0.135,1.6043131042330914,False
PENGUIN,32,5,UCB,16,2,0.27,1.6043131042330914,True
PENGUIN,32,5,UCB,8,4,0.32,1.6043131042330914,False
PENGUIN,32,5,UCB,4,8,0.155,1.6043131042330914,False
PENGUIN,32,5,UCB,2,16,0.085,1.6043131042330914,False
PENGUIN,32,5,UCB,1,32,0.035,1.6043131042330914,False
PENGUIN,32,5,ERM,32,1,0.105,1.3925401533180133,False
PENGUIN,32,5,ERM,16,2,0.335,1.3925401533180133,True
PENGUIN,32,5,ERM,8,4,0.395,1.3925401533180133,False
PENGUIN,32,5,ERM,4,8,0.12,1.3925401533180133,False
PENGUIN,32,5,ERM,2,16,0.03,1.3925401533180133,False
PENGUIN,32,5,ERM,1,32,0.015,1.3925401533180133,False
PENGUIN,32,10,UCB,32,1,0.06,1.4514314478772765,False
PENGUIN,32,10,UCB,16,2,0.41,1.4514314478772765,True
PENGUIN,32,10,UCB,8,4,0.31,1.4514314478772765,False
PENGUIN,32,10,UCB,4,8,0.12,1.4514314478772765,False
PENGUIN,32,10,UCB,2,16,0.05,1.4514314478772765,False
PENGUIN,32,10,UCB,1,32,0.05,1.4514314478772765,False
PENGUIN,32,10,ERM,32,1,0.05,1.1540043437272647,False
PENGUIN,32,10,ERM,16,2,0.435,1.1540043437272647,True
PENGUIN,32,10,ERM,8,4,0.395,1.1540043437272647,False
PENGUIN,32,10,ERM,4,8,0.115,1.1540043437272647,False
PENGUIN,32,10,ERM,2,16,0.0,1.1540043437272647,False
PENGUIN,32,10,ERM,1,32,0.005,1.1540043437272647,False
PENGUIN,32,25,UCB,32,1,0.015,0.9992354501717826,False
PENGUIN,32,25,UCB,16,2,0.44,0.9992354501717826,True
PENGUIN,32,25,UCB,8,4,0.455,0.9992354501717826,False
PENGUIN,32,25,UCB,4,8,0.09,0.9992354501717826,False
PENGUIN,32,25,UCB,2,16,0.0,0.9992354501717826,False
PENGUIN,32,25,UCB,1,32,0.0,0.9992354501717826,False
PENGUIN,32,25,ERM,32,1,0.015,0.8874956474296157,False
PENGUIN,32,25,ERM,16,2,0.48,0.8874956474296157,True
PENGUIN,32,25,ERM,8,4,0.47,0.8874956474296157,False
PENGUIN,32,25,ERM,4,8,0.035,0.8874956474296157,False
PENGUIN,32,25,ERM,2,16,0.0,0.8874956474296157,False
PENGUIN,32,25,ERM,1,32,0.0,0.8874956474296157,False
PENGUIN,32,50,UCB,32,1,0.0,0.81685312912799,False
PENGUIN,32,50,UCB,16,2,0.525,0.81685312912799,True
PENGUIN,32,50,UCB,8,4,0.44,0.81685312912799,False
