model,B,n_cal,subset,UCB_K,UCB_S,UCB_cal_mean,UCB_cal_ucb,UCB_heldout_risk,UCB_regret,UCB_near_optimal,UCB_heldout_micro_risk,ERM_K,ERM_S,ERM_cal_mean,ERM_cal_ucb,ERM_heldout_risk,ERM_regret,ERM_near_optimal,ERM_heldout_micro_risk,oracle_K,oracle_S,oracle_risk,fullval_heldout_risk,regret_pure_width,regret_pure_depth,regret_balanced,regret_historical,regret_fullval
CD,16,200,32,16,1,5.958037,6.593634,6.316888,0.0,True,6.267419,16,1,5.958037,6.593634,6.316888,0.0,True,6.267419,16,1,6.316888,6.316888,0.0,2.153507,0.901183,0.0,0.0
CD,16,200,33,16,1,5.882699,6.483443,6.486188,0.0,True,6.465111,16,1,5.882699,6.483443,6.486188,0.0,True,6.465111,16,1,6.486188,6.486188,0.0,1.976008,0.978037,0.0,0.0
CD,16,200,34,16,1,6.476044,7.107486,5.152828,0.0,True,5.102839,16,1,6.476044,7.107486,5.152828,0.0,True,5.102839,16,1,5.152828,5.152828,0.0,2.09844,0.679971,0.0,0.0
CD,16,200,35,16,1,6.19806,6.808377,5.777511,0.0,True,5.734775,16,1,6.19806,6.808377,5.777511,0.0,True,5.734775,16,1,5.777511,5.777511,0.0,2.406092,0.870544,0.0,0.0
CD,16,200,36,16,1,5.895043,6.460937,6.458446,0.0,True,6.402698,16,1,5.895043,6.460937,6.458446,0.0,True,6.402698,16,1,6.458446,6.458446,0.0,2.340545,0.622214,0.0,0.0
CD,16,200,37,16,1,6.220996,6.828759,5.725968,0.0,True,5.661552,16,1,6.220996,6.828759,5.725968,0.0,True,5.661552,16,1,5.725968,5.725968,0.0,2.911607,0.86263,0.0,0.0
CD,16,200,38,16,1,5.944935,6.511091,6.34633,0.0,True,6.343965,16,1,5.944935,6.511091,6.34633,0.0,True,6.343965,16,1,6.34633,6.34633,0.0,2.186896,1.043012,0.0,0.0
CD,16,200,39,16,1,6.349925,6.993177,5.436239,0.0,True,5.389199,16,1,6.349925,6.993177,5.436239,0.0,True,5.389199,16,1,5.436239,5.436239,0.0,2.225669,1.197888,0.0,0.0
CD,16,200,40,16,1,6.206583,6.838441,5.758357,0.0,True,5.728038,16,1,6.206583,6.838441,5.758357,0.0,True,5.728038,16,1,5.758357,5.758357,0.0,1.745746,0.937365,0.0,0.0
CD,16,200,41,16,1,6.303733,6.934888,5.540043,0.0,True,5.472799,16,1,6.303733,6.934888,5.540043,0.0,True,5.472799,16,1,5.540043,5.540043,0.0,2.351886,0.890699,0.0,0.0
CD,16,200,42,16,1,6.319493,6.922896,5.504627,0.0,True,5.469446,16,1,6.319493,6.922896,5.504627,0.0,True,5.469446,16,1,5.504627,5.504627,0.0,2.198817,0.805489,0.0,0.0
CD,16,200,43,16,1,6.261735,6.867079,5.634421,0.0,True,5.516898,16,1,6.261735,6.867079,5.634421,0.0,True,5.516898,16,1,5.634421,5.634421,0.0,2.027074,0.93709,0.0,0.0
CD,16,200,44,16,1,6.053432,6.637864,6.102517,0.0,True,6.059957,16,1,6.053432,6.637864,6.102517,0.0,True,6.059957,16,1,6.102517,6.102517,0.0,1.835821,1.080908,0.0,0.0
CD,16,200,45,16,1,6.064691,6.684046,6.077215,0.0,True,6.065038,16,1,6.064691,6.684046,6.077215,0.0,True,6.065038,16,1,6.077215,6.077215,0.0,2.241795,0.804331,0.0,0.0
