corpus,K,nfe_per_window,coverage,C_nested,C_lo,C_hi,I_nested,G_nested,G_lo,G_hi,C_partition,mean_partition,trimmed20_partition,diff_vs_K1,diff_lo,diff_hi,win_rate_vs_K1
DALIA,2,40,0.9999691052891745,3.038158633357026,2.467096191041306,3.778149758991325,3.254594205856345,0.21643557249931808,0.18718687872253187,0.2461515643424863,3.0251757282363037,3.0251757282363037,3.0251757282363037,-0.2123424149002605,-0.247374176979159,-0.17676068585447535,1.0
DALIA,3,60,0.9999691052891745,2.9569344092568337,2.3727662378837584,3.714013230519784,3.25071798333055,0.2937835740737163,0.25733089863283887,0.33071385952507015,2.9487263293808095,2.938898762613374,2.938898762613374,-0.29356663900045293,-0.34885975788816614,-0.24005255020571764,1.0
DALIA,4,80,0.9999691052891745,2.877840463211629,2.3077192803021815,3.6209052332866207,3.2480213583414232,0.37018089512979285,0.325324673283125,0.4161363646373183,2.8731063262431062,2.8907070044894496,2.890707004489449,-0.3726605850456571,-0.4395002907510188,-0.30935461255948565,1.0
DALIA,8,160,0.9999691052891745,2.808010028195639,2.2381769111745746,3.5600986993885364,3.24511463833399,0.4371046101383513,0.38723773139863243,0.4915123312503164,2.8089329392790656,2.814203304037202,2.7932320966767232,-0.4424910200616477,-0.5087660932335212,-0.3794860372624915,1.0
DALIA,16,320,0.9999691052891745,2.771885850960333,2.2049579853721717,3.526270047590246,3.239048259854852,0.46716240889451893,0.41454580835122096,0.5270625757970205,2.771885850960333,2.771101237716706,2.7557121505485798,-0.4786151972969536,-0.5488731557811758,-0.4107278265470255,1.0
BIDMC,1,20,1.0,1.3842473800958832,1.1384937527772607,1.6760479116426332,1.3842473800958832,0.0,0.0,0.0,1.401263087312557,1.401263087312557,1.401263087312557,,,,
BIDMC,2,40,1.0,1.2950617869646088,1.0610558700117885,1.568488036084288,1.4083734881119705,0.11331170114736189,0.09030897675992869,0.1415554666774849,1.290085727566352,1.290085727566352,1.290085727566352,-0.08918559313127451,-0.12543163661055973,-0.057475427216034866,0.8823529411764706
BIDMC,3,60,1.0,1.2497397899711655,1.0145103581592771,1.5245489765833904,1.412973086640333,0.1632332966691673,0.12401928197024358,0.21415678406599922,1.2271162469532986,1.242959901908851,1.2429599019088513,-0.1345075901247177,-0.19502935604092644,-0.08357131773827817,0.9019607843137255
BIDMC,4,80,1.0,1.2100646941178173,0.982583315068585,1.473709835069591,1.4183950732972443,0.20833037917942737,0.1630703522472516,0.26251012081799985,1.188256822091074,1.2168501517540309,1.2168501517540307,-0.17418268597806605,-0.24034041091041286,-0.11680791379999154,0.9215686274509803
BIDMC,8,160,1.0,1.1530208209295312,0.9321382375063567,1.4096148691411827,1.4117354708427177,0.25871464991318643,0.2021405921243196,0.3274865379949445,1.1392485345452092,1.167838279525383,1.145571502339015,-0.23122655916635204,-0.3195268518445737,-0.15468122582853572,0.9019607843137255
BIDMC,16,320,1.0,1.1159751025838032,0.8995241813194425,1.363565687864065,1.401263087312557,0.2852879847287541,0.22282039769930304,0.36010386809790174,1.1159751025838032,1.1391896572970792,1.1177328380230773,-0.26827227751208,-0.364417854676946,-0.18795361759922907,0.9215686274509803
