arm,nfe,metric,value,ci_lo,ci_hi,diff_vs_I,diff_ci_lo,diff_ci_hi
B,2,Rpeak_F1,0.6684531124768566,0.6601002930252132,0.6766843096248462,-0.0038489621382205505,-0.005446224108327909,-0.0022116561162599598
B,2,RR_MAE_ms,22.6382030675454,22.44128826217002,22.82790187362521,2.747914617518749,2.568963200749078,2.9035407199175305
B,2,MAE,0.4147687714087083,0.4105773715111642,0.41901622742516487,-5.449776304896623e-05,-0.0008671656312583737,0.0007337040682004834
B,2,RMSE,0.5061922250529991,0.5022443515718853,0.5101311115611266,0.0006754071126547471,-0.00011900624627232732,0.0014325189895547717
B,2,FD_kanflow,7.807633379419805,,,,,
B,2,Micro_F1,0.6681846103499646,,,,,
B,2,Macro_F1,0.6665054604746228,,,,,
B,2,ms_per_window,1.473231823926717,,,,,
B,4,HR,8.72205717163702,8.366256277422663,9.089133940784912,-0.2502442439258296,-0.3392403658814423,-0.15561898225922766
B,4,Rpeak_F1,0.6700237605684017,0.6615909686466489,0.678293748927444,-0.0063135689012014835,-0.007984619025455893,-0.004563357475535928
B,4,RR_MAE_ms,22.648169985354166,22.457068721319533,22.841101299838694,3.555527004864018,3.361086144457715,3.7287999972261927
B,4,MAE,0.4004059082654224,0.39573572226216747,0.40509419780995587,-0.005362942873646776,-0.006095333310288706,-0.004693855366584872
B,4,RMSE,0.4944091898515094,0.4901450276310786,0.4986299866683927,-0.004156719124759662,-0.0048577054480478275,-0.0034767156314957854
B,4,FD_kanflow,7.438028969376518,,,,,
B,4,Micro_F1,0.6746915155602883,,,,,
B,4,Macro_F1,0.667857369482801,,,,,
B,4,ms_per_window,2.086328039245985,,,,,
B,1,HR_consensus_K16,6.3405808223347515,5.978813524542436,6.710004309944995,-0.3341016521109667,-0.43046635876058303,-0.23877476034960063
