nfe,metric,orientation,U,S,effect,ci_lo,ci_hi,rel_improvement,ci_excludes_zero,ci_side,n_clusters,n_subjects,rel_an0,rel_k2s
1,F3__gt_energy,neutral,0.014814996018610225,0.014814996018610225,0.0,0.0,0.0,nan,False,spans_zero,12400,2,nan,nan
1,F3__pred_energy,neutral,0.008712534395132435,0.010008308168312283,-0.00129577377317985,-0.001320821118915464,-0.0012706859513606484,nan,True,below_zero (S WORSE),12400,2,nan,nan
1,F3__ratio_dev,lower_better,0.45850514453868896,0.4002373377037737,0.05826780683491528,0.05634636468670387,0.06027029475723941,0.127082122259587,True,above_zero (S better),12400,2,0.09798860635453761,0.15644595839547187
1,F4__err_energy,neutral,0.022425225996163888,0.024701394602221267,-0.002276168606057385,-0.002313741984171088,-0.002241150576997542,nan,True,below_zero (S WORSE),12400,2,nan,nan
1,F4__gt_energy,neutral,0.011936539242060087,0.011936539242060087,0.0,0.0,0.0,nan,False,spans_zero,12400,2,nan,nan
1,F4__pred_energy,neutral,0.010461974809996631,0.01275539787393427,-0.0022934230639376383,-0.0023249791931779853,-0.002264202715956867,nan,True,below_zero (S WORSE),12400,2,nan,nan
1,F4__ratio_dev,lower_better,0.36750743881849834,0.43193452660616527,-0.06442708778766686,-0.06899078165351669,-0.05980383868664733,-0.17530825496973318,True,below_zero (S WORSE),12400,2,-0.2488169546283478,-0.08238922419631178
1,f1@50,higher_better,0.4156093892436448,0.45010837911212853,0.034498989868483695,0.03318856589950042,0.03580863361005067,0.08300820616990245,True,above_zero (S better),12400,2,0.061536045793072404,0.10442450994125275
1,precision@50,higher_better,0.4205808709843858,0.45200911676406685,0.03142824577968116,0.030084961900263003,0.03276518563719884,0.07472580887029417,True,above_zero (S better),12400,2,0.05460405290023331,0.09485374279154904
1,recall@50,higher_better,0.41452061210415725,0.4527744779089037,0.03825386580474639,0.03694543913486413,0.03958706948689188,0.09228459258169368,True,above_zero (S better),12400,2,0.07000275823810671,0.11450108776495445
1,missing@50,lower_better,5.786489897143074,5.4084512982697905,0.3780385988732835,0.364887820320575,0.39076907743823025,0.06533124667856588,True,above_zero (S better),12400,2,0.050936086324437066,0.08041836916926477
1,spurious@50,lower_better,5.432404767714914,5.3066038314526605,0.1258009362622532,0.10956926187334601,0.14171741561227943,0.023157504206957374,True,above_zero (S better),12400,2,0.01084308362807756,0.03547707578277683
1,floor_f1@50,higher_better,0.11969808504939237,0.1210416985755057,0.0013436135261133276,0.0008897249073154315,0.0018218122566661834,0.011225021064947669,True,above_zero (S better),12400,2,0.011394642220243398,0.011054799477943201
1,f1_excess@50,higher_better,0.2959113041942525,0.3290666805366228,0.03315537634237037,0.03180152369947017,0.03460152825988567,0.11204498061556073,True,above_zero (S better),12400,2,0.08190623011229639,0.1420307823579647
1,f1@100,higher_better,0.5911715828634179,0.6260704947078137,0.0348989118443959,0.03349225031771065,0.03627235266441666,0.05903347328597623,True,above_zero (S better),12400,2,0.04179184882342402,0.07652935182410152
1,f1@150,higher_better,0.7028746232970757,0.7295608161858739,0.026686192888798116,0.025467952893039426,0.027883224235094838,0.0379672163487954,True,above_zero (S better),12400,2,0.02856824066802492,0.04739662521044898
1,f1@200,higher_better,0.7728788504274184,0.7948658622504279,0.02198701182300939,0.020823746410326176,0.023022225558753964,0.028448199625141966,True,above_zero (S better),12400,2,0.022595149858641875,0.03425866159401503
1,n_pred_beats,neutral,9.312019806544642,9.564257469155674,-0.2522376626110303,-0.2642591939270649,-0.24006925191165396,nan,True,below_zero (S WORSE),12400,2,nan,nan
1,n_ref_beats,neutral,9.666104935972804,9.666104935972804,0.0,0.0,0.0,nan,False,spans_zero,12400,2,nan,nan
1,beats_ratio_dev,lower_better,0.10676635040858616,0.11084081871994889,-0.004074468311362705,-0.005137358028920854,-0.002963519505931538,-0.03816247624621489,True,below_zero (S WORSE),12400,2,-0.026015125880922543,-0.052356835030430385
1,rr_mae_ms,lower_better,25.386826945835722,25.114716174158737,0.3949092842237071,0.23602723082701504,0.5689533323438268,0.010718581422465647,True,above_zero (S better),12400,2,0.02482996913572599,-0.0036612285528874198
1,rmse,lower_better,0.44982112535025015,0.43881907238238654,0.01100205296786353,0.01031800824864533,0.011723012739355857,0.02445872892096149,True,above_zero (S better),12400,2,0.035936933169874306,0.01236834843521877
1,corr,higher_better,0.09277473265316358,0.11191848734893761,0.019143754695774035,0.018585854025355515,0.019700617846205158,0.20634664362054878,True,above_zero (S better),12400,2,0.11631127195364034,0.27719538743664884
2,qrs_core__a1_abs,lower_better,0.46366602237299936,0.47672520816622527,-0.01305918579322588,-0.013661596874937723,-0.012430640095658627,-0.028165069604173733,True,below_zero (S WORSE),12400,2,-0.02080750367749415,-0.03571340160745371
2,qrs_core__a2_sq,lower_better,0.38822638169806595,0.39509649562215277,-0.006870113924086792,-0.007574046151070732,-0.006133623517955204,-0.017696154223310587,True,below_zero (S WORSE),12400,2,-0.00875326633351038,-0.026684190411809153
2,qrs_core__a3_dabs,lower_better,0.2226785320721138,0.23974993326109084,-0.017071401188977077,-0.01724506261722391,-0.016908542483701338,-0.07666388416575567,True,below_zero (S WORSE),12400,2,-0.0807127249767389,-0.07276481760031624
2,qrs_core__a4_amp,lower_better,0.34628466672777763,0.27106748946895654,0.0752171772588211,0.07321549926856893,0.07726138482194359,0.2172119775605053,True,above_zero (S better),12400,2,0.22359953430473584,0.21137359354468177
2,qrs_core__a5_energy,higher_better,0.5825686618409203,0.5247027505662478,-0.05786591127467253,-0.06148587750535158,-0.05423516773773121,-0.09932891187764174,True,below_zero (S WORSE),12400,2,-0.1335757921414335,-0.05478553954429357
2,qrs_core__n,higher_better,202.88319076012374,202.88319076012374,0.0,0.0,0.0,0.0,False,spans_zero,12400,2,0.0,0.0
2,peri_qrs__a1_abs,lower_better,0.30755628502314386,0.3170138496646332,-0.009457564641489282,-0.01020041131505671,-0.00870839562767105,-0.03075067915057449,True,below_zero (S WORSE),12400,2,-0.0009265661313502355,-0.06399325935707094
2,peri_qrs__a2_sq,lower_better,0.1746188665910972,0.18341159081948583,-0.008792724228388643,-0.009497101510692435,-0.008043060272067158,-0.05035380425975634,True,below_zero (S WORSE),12400,2,-0.0015858803668849274,-0.10365849538159251
2,peri_qrs__a3_dabs,lower_better,0.056046505156497464,0.07996548043944886,-0.023918975282951404,-0.024037190249919113,-0.023790946474538548,-0.42677014768651406,True,below_zero (S WORSE),12400,2,-0.38896385971734243,-0.46958510254986163
2,peri_qrs__a4_amp,lower_better,0.8488991825971843,0.928476908677131,-0.07957772607994659,-0.08220217244993085,-0.07694110859224292,-0.09374225786916263,True,below_zero (S WORSE),12400,2,-0.12358913787955293,-0.07537321979116818
2,peri_qrs__a5_energy,higher_better,1.9787993578765877,1.6294313775985647,-0.3493679802780226,-0.3766508568391224,-0.32414596166092896,-0.17655553550053865,True,below_zero (S WORSE),12400,2,-0.20781579624229313,-0.1520170908385628
2,peri_qrs__n,higher_better,421.00206491143757,421.00206491143757,0.0,0.0,0.0,0.0,False,spans_zero,12400,2,0.0,0.0
2,background__a1_abs,lower_better,0.31379215708475705,0.3277441003472574,-0.013951943262500363,-0.01468172588127211,-0.013169731162321771,-0.044462370863946984,True,below_zero (S WORSE),12400,2,-0.03086970498756576,-0.059545372222920216
2,background__a2_sq,lower_better,0.1846924485460788,0.19464917575636592,-0.009956727210287107,-0.010730802004969883,-0.009155299600953659,-0.05390976885448038,True,below_zero (S WORSE),12400,2,-0.029381813917104677,-0.08149734132799291
2,background__a3_dabs,lower_better,0.05308631448159534,0.07683485911368898,-0.02374854463209363,-0.02386454583073892,-0.02362575744317432,-0.44735719297912635,True,below_zero (S WORSE),12400,2,-0.4076136415167698,-0.493607880856174
2,background__a4_amp,lower_better,0.501721746480058,0.5089265895178561,-0.00720484303779814,-0.010601697459063105,-0.0036513086417124855,-0.014360236701608641,True,below_zero (S WORSE),12400,2,0.05273354488348907,-0.07215217855885887
2,background__a5_energy,higher_better,0.9203159057228054,0.7965487977126333,-0.12376710801017203,-0.13182262503486444,-0.11573765602175248,-0.1344832869241425,True,below_zero (S WORSE),12400,2,-0.16493503585673067,-0.08615077359749176
2,background__n,higher_better,400.1147443284387,400.1147443284387,0.0,0.0,0.0,0.0,False,spans_zero,12400,2,0.0,0.0
2,qrs_rmse_core,lower_better,0.5975518414157978,0.6023739157194776,-0.004822074303679868,-0.005377205467322281,-0.004227657644396895,-0.008069717084721522,True,below_zero (S WORSE),12400,2,-0.004267607209904577,-0.011871595839889958
2,qrs_ptp_dev,lower_better,0.5012341160937313,0.3990470344714302,0.10218708162230103,0.10065327492341719,0.1036184366906397,0.20387096237318367,True,above_zero (S better),12400,2,0.20248033094753445,0.20524023173588493
2,qrs_energy_dev,lower_better,0.6426084544344706,0.5870414891491744,0.05556696528529609,0.0510038012597983,0.0603394810091612,0.08647095272687941,True,above_zero (S better),12400,2,0.12207569760076897,0.03724741781472664
