nfe,metric,orientation,U,S,effect,ci_lo,ci_hi,rel_improvement,ci_excludes_zero,n_clusters,n_subjects,effect_an0,rel_an0,effect_k2s,rel_k2s
4,F1__pred_energy,neutral,0.011752643420220442,0.013710874544923563,-0.0019582311247031206,-0.002011462481799699,-0.001902092439016753,0.16662048312756436,True,12400,2,0.0022617421257417176,0.19169886472768424,0.0016547201236645236,0.14134601264597652
4,F1__ratio_dev,lower_better,0.8053331713747456,0.8693154570266671,-0.06398228565192152,-0.06998512069205355,-0.057774046503689495,-0.0794482183599869,True,12400,2,-0.07461352008434388,-0.08886943026253091,-0.05335105121949915,-0.06918999350574145
4,F2__err_energy,neutral,0.018116611762808644,0.01826939616811082,-0.00015278440530217802,-0.00017916275738593735,-0.0001259981640390672,0.008433387396192146,True,12400,2,-1.5121599882314883e-05,-0.0007680064095266419,0.0003206904104866709,0.019384320409817028
4,F2__gt_energy,neutral,0.01488605580006791,0.01488605580006791,0.0,0.0,0.0,0.0,False,12400,2,0.0,0.0,0.0,0.0
4,F2__pred_energy,neutral,0.007658728231538213,0.007891990409288747,-0.00023326217775053546,-0.00024872124395814473,-0.0002168486347076905,0.030457038126770586,True,12400,2,0.0001911986560699888,0.02730874286606522,0.00027532569943108215,0.0331076105113252
4,F2__ratio_dev,lower_better,0.5081602960331598,0.4884518383719259,0.019708457661233934,0.018564431440711918,0.020826236607481424,0.03878393848374932,True,12400,2,0.012309701940297192,0.021384785709638726,0.02710721338217068,0.06151061504060424
4,F3__err_energy,neutral,0.02371124829402599,0.024079988544941464,-0.0003687402509154864,-0.0003971281301385385,-0.00034063031373765627,0.015551279559093427,True,12400,2,0.00029951274978547344,0.01283764639653485,0.00043796775204549943,0.01817921035245038
4,F3__gt_energy,neutral,0.014814996018610225,0.014814996018610225,0.0,0.0,0.0,0.0,False,12400,2,0.0,0.0,0.0,0.0
4,F3__pred_energy,neutral,0.009906409709339068,0.010238772320835744,-0.0003323626114966733,-0.00034851690242251166,-0.00031574448166651133,0.033550258998812386,True,12400,2,0.0003099672293564319,0.03304765658144945,0.00035475799363691464,0.03400208692375489
4,F3__ratio_dev,lower_better,0.4123270785722628,0.39288050922678275,0.01944656934548007,0.01820859840507404,0.02068023133524264,0.047162969293252296,True,12400,2,0.012373971868165362,0.028360156193697323,0.026519166822794777,0.06828873983209342
4,F4__err_energy,neutral,0.0224861818846856,0.023571937708529694,-0.0010857558238440935,-0.0011105454731337734,-0.0010606056686972023,0.0482854683561711,True,12400,2,0.0011306652502313809,0.0501887557750967,0.001040846397456806,0.04637504468721672
4,F4__gt_energy,neutral,0.011936539242060087,0.011936539242060087,0.0,0.0,0.0,0.0,False,12400,2,0.0,0.0,0.0,0.0
4,F4__pred_energy,neutral,0.010566693634154243,0.011592509867449044,-0.0010258162332948018,-0.0010454527982755434,-0.0010054815671509346,0.09708015286627612,True,12400,2,0.001052272090680484,0.09867943237706937,0.0009993603759091195,0.09545128654832906
4,F4__ratio_dev,lower_better,0.35379369520187653,0.3689925017470834,-0.015198806545206911,-0.017755641130319497,-0.012675211790254168,-0.042959517796195806,True,12400,2,-0.03158978369906774,-0.07716672237006283,0.0011921706086539146,0.003997663623874397
4,f1@50,higher_better,0.4750036372129098,0.48267410249736015,0.007670465284450372,0.00650627975678928,0.00885369155639842,0.01614822431562193,True,12400,2,0.0172711691221898,0.03671671904622806,-0.0019302385532890555,-0.00402453735711703
4,precision@50,higher_better,0.4849162751156958,0.4872695230799491,0.0023532479642533596,0.0011295310803518636,0.0036154129575659004,0.004852895406927374,True,12400,2,0.01177855606948647,0.02442549460957288,-0.00707206014097975,-0.014503556129981846
4,recall@50,higher_better,0.47058962039111696,0.48245120334663605,0.01186158295551908,0.01069696375634043,0.013035309506255807,0.02520578959149307,True,12400,2,0.021683041146956582,0.04663859046395471,0.0020401247640815775,0.004283610188039095
4,missing@50,lower_better,5.250289382330546,5.132338875418974,0.11795050691157276,0.10692473769356593,0.12909721406330998,0.02246552491154607,True,12400,2,0.20924990984493327,0.038582376115830264,0.026651103978212236,0.005249255836564186
4,spurious@50,lower_better,4.630668987600604,4.8312739354643,-0.20060494786369581,-0.2140975113794793,-0.1878513900269713,-0.043320943129567184,True,12400,2,-0.10752494290179107,-0.023192877491954113,-0.2936849528256006,-0.06349644467226578
4,floor_f1@50,higher_better,0.11717853033833717,0.11952858524561744,0.0023500549072802785,0.0019482568079098833,0.0027357227513659333,0.020055336933265874,True,12400,2,0.002212815117415145,0.018878527919533823,0.0024872946971454127,0.02123284512586791
4,f1_excess@50,higher_better,0.3578251068745726,0.36314551725174277,0.005320410377170092,0.0041143318664947455,0.006542614462422417,0.014868745303093362,True,12400,2,0.015058354004774652,0.04263691508443687,-0.004417533250434468,-0.012187180440136943
4,f1@100,higher_better,0.6392765008329142,0.6495554311186109,0.010278930285696566,0.009122644922213886,0.011462154603551138,0.01607900536357003,True,12400,2,0.01824119892499983,0.028467683407144295,0.002316661646393303,0.0036323588410802046
4,f1@150,higher_better,0.7369325406685617,0.7506585491834807,0.013726008514919029,0.012641379511304607,0.014796908648500999,0.018625868390160196,True,12400,2,0.01743480833974913,0.02363727615060031,0.010017208690088928,0.013605401302957024
4,f1@200,higher_better,0.7981203809134356,0.8124734524542812,0.014353071540845516,0.013369662745284014,0.015285943747502055,0.0179835923052343,True,12400,2,0.014845219322914898,0.01869581556796295,0.013860923758776136,0.017278615039850377
4,n_pred_beats,neutral,9.046484541242862,9.36503999601813,-0.3185554547752686,-0.32768787332449345,-0.30977641864622846,0.03521317627007219,True,12400,2,0.31677485274672434,0.03523573781615968,0.3203360568038129,0.03519089393712731
4,n_ref_beats,neutral,9.666104935972804,9.666104935972804,0.0,0.0,0.0,0.0,False,12400,2,0.0,0.0,0.0,0.0
4,beats_ratio_dev,lower_better,0.10009161722074857,0.09602822843584494,0.0040633887849036345,0.0031269712100214712,0.004937200553577759,0.04059669428601565,True,12400,2,0.005342192129403632,0.048166263741000935,0.002784585440403637,0.031192237704164162
4,rr_mae_ms,lower_better,22.55875599305979,22.66199898098264,0.053947452629735146,-0.0679674188610096,0.17422288497406382,-0.004576625943142151,False,12400,2,0.27726848809211535,0.000888905801532384,-0.16937358283264506,-0.010234025469314624
4,rmse,lower_better,0.40924542928088736,0.4299844753067835,-0.0207390460258961,-0.021254169734479012,-0.020174469039918912,-0.050676304589004524,True,12400,2,-0.01660874699072033,-0.039558517884457224,-0.024869345061071867,-0.062385747392038615
4,corr,higher_better,0.12555144642286156,0.1281293970465182,0.002577950623656657,0.002049784706574387,0.0030983157781106943,0.02053302209656768,True,12400,2,0.001345586732047385,0.012410478015522823,0.003810314515265929,0.026705418814333227
