dataset,model,quantity,mean,ci95_lo,ci95_hi,n,clusters,bootstrap
dalia_s1,OT1,global_lag_abs_ms,155.5373045178106,155.5373045178106,155.5373045178106,1151,1,window(exploratory)
dalia_s1,OT1,delta_global_morph,0.0806742436047859,0.0806742436047859,0.0806742436047859,194,1,window(exploratory)
dalia_s1,OT1,oracle_beat_corr,0.2733333594045814,0.2733333594045814,0.2733333594045814,10096,1,window(exploratory)
dalia_s1,OT1,delta_local_corr,0.28805419191096726,0.28805419191096726,0.28805419191096726,10096,1,window(exploratory)
dalia_s1,OT1,oracle_p2p_ratio,0.11250713609745149,0.11250713609745149,0.11250713609745149,10096,1,window(exploratory)
dalia_s1,OT1,oracle_slope_ratio,0.07053335740067461,0.07053335740067461,0.07053335740067461,10096,1,window(exploratory)
dalia_s1,OT1,oracle_absent,0.9872226624405706,0.9872226624405706,0.9872226624405706,10096,1,window(exploratory)
dalia_s1,OT1,missing_per_gt_beat,0.9481671742810933,0.9481671742810933,0.9481671742810933,1151,1,window(exploratory)
dalia_s1,iMF1,global_lag_abs_ms,140.64536272806257,140.64536272806257,140.64536272806257,1151,1,window(exploratory)
dalia_s1,iMF1,delta_global_morph,0.06379526852697272,0.06379526852697272,0.06379526852697272,752,1,window(exploratory)
dalia_s1,iMF1,oracle_beat_corr,0.40845562040726546,0.40845562040726546,0.40845562040726546,10096,1,window(exploratory)
dalia_s1,iMF1,delta_local_corr,0.41224432827428525,0.41224432827428525,0.41224432827428525,10096,1,window(exploratory)
dalia_s1,iMF1,oracle_p2p_ratio,0.6319842915881455,0.6319842915881455,0.6319842915881455,10096,1,window(exploratory)
dalia_s1,iMF1,oracle_slope_ratio,0.6367843341236141,0.6367843341236141,0.6367843341236141,10096,1,window(exploratory)
dalia_s1,iMF1,oracle_absent,0.6631339144215531,0.6631339144215531,0.6631339144215531,10096,1,window(exploratory)
dalia_s1,iMF1,missing_per_gt_beat,0.8724097959787815,0.8724097959787815,0.8724097959787815,1151,1,window(exploratory)
dalia_s1,OT50,global_lag_abs_ms,145.55278019113814,145.55278019113814,145.55278019113814,1151,1,window(exploratory)
dalia_s1,OT50,delta_global_morph,0.05697570975189352,0.05697570975189352,0.05697570975189352,674,1,window(exploratory)
dalia_s1,OT50,oracle_beat_corr,0.45739668111760584,0.45739668111760584,0.45739668111760584,10096,1,window(exploratory)
dalia_s1,OT50,delta_local_corr,0.46461197523084885,0.46461197523084885,0.46461197523084885,10096,1,window(exploratory)
dalia_s1,OT50,oracle_p2p_ratio,0.7867702505623125,0.7867702505623125,0.7867702505623125,10096,1,window(exploratory)
dalia_s1,OT50,oracle_slope_ratio,0.7466653686171966,0.7466653686171966,0.7466653686171966,10096,1,window(exploratory)
dalia_s1,OT50,oracle_absent,0.618066561014263,0.618066561014263,0.618066561014263,10096,1,window(exploratory)
dalia_s1,OT50,missing_per_gt_beat,0.8719713595619054,0.8719713595619054,0.8719713595619054,1151,1,window(exploratory)
dalia_s1,OT1-OT50,paired_delta_oracle_beat_corr,-0.1865127228287623,-0.1865127228287623,-0.1865127228287623,1151,1,window(exploratory)
dalia_s1,MSE-OT50,paired_delta_oracle_beat_corr,-0.2160468114045261,-0.2160468114045261,-0.2160468114045261,1151,1,window(exploratory)
dalia_s1,iMF1-OT50,paired_delta_oracle_beat_corr,-0.054849212587822514,-0.054849212587822514,-0.054849212587822514,1151,1,window(exploratory)
dalia_s1,OT1-MSE,paired_delta_oracle_beat_corr,0.029534088575763808,0.029534088575763808,0.029534088575763808,1151,1,window(exploratory)
dalia_s1,iMF1-OT1,paired_delta_oracle_beat_corr,0.13166351024093978,0.13166351024093978,0.13166351024093978,1151,1,window(exploratory)
