B,amp,amp_sd,arm,f1,f1_sd,hf,hf_sd,morph,morph_n,morph_n_sd,morph_sd,n_folds,n_windows,n_windows_sd,qrs_energy,qrs_energy_sd,rmse,rmse_sd,slope,slope_sd
64,0.31451450000000003,0.023705907423045427,RESID,0.375158,0.01907759376860718,0.0085605,0.0021791976160963466,0.48261075,1429.75,23.742103950576915,0.03128995649066166,4,2048.0,0.0,0.215579,0.037910612208193105,0.35144775000000006,0.02807364103011044,0.12419025,0.01759169531874344
128,0.31872025,0.024760983697896578,RAW,0.37567125,0.018782092779759656,0.0084985,0.0021561589111194933,0.47931024999999994,1433.25,21.52179128232592,0.028549119219119526,4,2048.0,0.0,0.21071074999999997,0.03804108471360274,0.35041875,0.027893273475651785,0.12499025,0.017484036023970553
128,0.3078,0.02268144485036172,WHITE,0.380315,0.020174270655961755,0.00892475,0.002211239513824769,0.48600125000000005,1440.25,25.13339412017406,0.02893620080776844,4,2048.0,0.0,0.07777225,0.012875168588702053,0.3218955,0.03385716220757433,0.12446399999999999,0.01743587730801063
128,0.29355025,0.020372918450420892,HF,0.386809,0.020186453192673537,0.0088915,0.00224791686901451,0.4895735,1450.5,28.412145290350743,0.027378187216285876,4,2048.0,0.0,0.07557950000000001,0.01218482263925085,0.32069649999999994,0.03374396317491471,0.12068949999999999,0.017555036179113956
256,0.32403675,0.025681827129071255,RAW,0.37349675,0.019241364756365394,0.00847,0.002178342718673992,0.481133,1420.0,28.231188426986208,0.029959830832299427,4,2048.0,0.0,0.21750475000000002,0.03885558526373655,0.3512675,0.027956483241817088,0.12590475,0.01772349960328095
256,0.31009075,0.022286429754168793,WHITE,0.37959375,0.020197818574972392,0.008906750000000001,0.0021691645137010703,0.48544975,1445.25,24.180312239505923,0.027788092012362046,4,2048.0,0.0,0.078424,0.012617779261819409,0.322303,0.03404169732107962,0.12456875000000002,0.017540974664695803
256,0.29381,0.02086274995056978,HF,0.38619575,0.019137834704780483,0.008872,0.0022721903529414078,0.48640725,1449.25,20.980645843252777,0.027876034208393057,4,2048.0,0.0,0.07552625,0.012449766732252456,0.32100275000000006,0.03378770456375366,0.12063175000000001,0.017599712176268684
256,0.3254285,0.025685124162635457,RESID,0.37127975,0.019813808157128715,0.008479750000000001,0.0021676509607176154,0.4822695,1414.5,36.69127961791467,0.03132032484266408,4,2048.0,0.0,0.23830075,0.04025869125651627,0.35552649999999997,0.027640175655194377,0.1262455,0.017765258420580316
512,0.32912850000000005,0.02688800455128644,RAW,0.36890475,0.017196643398858395,0.008392,0.002160067128586517,0.47899375,1419.5,36.33524459804833,0.02751049910829502,4,2048.0,0.0,0.22302899999999998,0.04143688918705167,0.352892,0.027735889772999883,0.1266135,0.01741693730969943
512,0.31269250000000004,0.02306227853552202,WHITE,0.3798125,0.017642901129066052,0.008900499999999999,0.0022154522675968446,0.48411275000000004,1440.75,11.143944544011335,0.028497224140036876,4,2048.0,0.0,0.079792,0.012570406755550911,0.32249,0.033283463807121993,0.12527825,0.017675572131829284
512,0.29415525,0.020373824584193827,HF,0.38535225,0.01970893115284288,0.00890875,0.0022877950492777976,0.48660875,1453.5,28.00446392988089,0.026369434705497578,4,2048.0,0.0,0.075184,0.012134354123726567,0.32095875,0.03408682319001728,0.12089299999999999,0.017641967676537668
-1,0.24779800000000002,0.017535537559481885,ref:A6,0.41956574999999996,0.023410443368024895,0.0073602500000000005,0.0018982905961680366,0.51348175,46.25,1.7853571071357126,0.04233877638982381,4,64.0,0.0,0.0597125,0.009874211728031762,0.314663,0.03267203047715276,0.11169950000000001,0.017115925164886647
-1,0.9943010000000001,0.08555968605599257,ref:iMF1,0.398856,0.01243505273410612,0.2144545,0.0029208247550991484,0.6196645000000001,55.75,1.920286436967152,0.0408640456972875,4,64.0,0.0,0.821487,0.11127710288284827,0.47604599999999997,0.00816479959950027,1.240207,0.08700381467211658
-1,0.925862,0.04845962379651743,ref:OT50,0.4515125,0.028874204183838563,0.26334475,0.0030422705644797513,0.7739400000000001,54.75,1.920286436967152,0.03582326705508586,4,64.0,0.0,0.59764475,0.06736426732836556,0.3942995,0.017095876118233894,1.06068575,0.0726175899192992
