B,arm,delta_r2,domain,fold,n_perm,null_hi,null_lo,null_mean,r2,setting
128,WHITE,0.004661,HF,1,100,-0.042031,-0.042996,-0.042543,-0.037882,train_crossfit
128,HF,0.000717,FULL,1,100,-0.017868,-0.023007,-0.020569,-0.019853,train_crossfit
128,HF,0.000602,QRS,1,100,-0.024168,-0.025319,-0.024748,-0.024146,train_crossfit
128,HF,0.034107,HF,1,100,-0.041729,-0.042994,-0.042454,-0.008347,train_crossfit
256,RAW,0.386455,FULL,1,100,-0.011474,-0.029847,-0.020781,0.365674,train_crossfit
256,RAW,0.077565,QRS,1,100,-0.023322,-0.027048,-0.024917,0.052647,train_crossfit
256,RAW,0.00519,HF,1,100,-0.042377,-0.043306,-0.042832,-0.037642,train_crossfit
256,WHITE,0.009353,FULL,1,100,-0.017904,-0.022721,-0.020587,-0.011235,train_crossfit
256,WHITE,0.004857,QRS,1,100,-0.024293,-0.025451,-0.024892,-0.020035,train_crossfit
256,WHITE,0.005272,HF,1,100,-0.042276,-0.043456,-0.042808,-0.037536,train_crossfit
256,HF,0.001349,FULL,1,100,-0.018437,-0.023263,-0.020627,-0.019278,train_crossfit
256,HF,0.000356,QRS,1,100,-0.024435,-0.025498,-0.024892,-0.024537,train_crossfit
256,HF,0.041138,HF,1,100,-0.042168,-0.043737,-0.042856,-0.001718,train_crossfit
256,RESID,0.425258,FULL,1,100,-0.012256,-0.029425,-0.021146,0.404112,train_crossfit
256,RESID,0.083163,QRS,1,100,-0.02344,-0.026888,-0.025023,0.058141,train_crossfit
256,RESID,0.005457,HF,1,100,-0.042297,-0.043283,-0.042812,-0.037355,train_crossfit
512,RAW,0.390438,FULL,1,100,-0.010947,-0.028232,-0.019167,0.37127,train_crossfit
512,RAW,0.078958,QRS,1,100,-0.022311,-0.026179,-0.024036,0.054922,train_crossfit
512,RAW,0.006191,HF,1,100,-0.042467,-0.043452,-0.043014,-0.036823,train_crossfit
512,WHITE,0.013672,FULL,1,100,-0.017402,-0.021859,-0.019528,-0.005856,train_crossfit
512,WHITE,0.006213,QRS,1,100,-0.023467,-0.024721,-0.024072,-0.01786,train_crossfit
512,WHITE,0.007024,HF,1,100,-0.042495,-0.043635,-0.04305,-0.036026,train_crossfit
512,HF,8.8e-05,FULL,1,100,-0.017562,-0.021883,-0.019492,-0.019404,train_crossfit
512,HF,0.00047,QRS,1,100,-0.023595,-0.024639,-0.024089,-0.023619,train_crossfit
512,HF,0.047527,HF,1,100,-0.042419,-0.043877,-0.043019,0.004508,train_crossfit
1,RAW,-0.001268,FULL,2,100,-0.029757,-0.035774,-0.032551,-0.033819,train_crossfit
1,RAW,-0.000351,QRS,2,100,-0.025903,-0.027095,-0.02658,-0.026931,train_crossfit
1,RAW,2.8e-05,HF,2,100,-0.026404,-0.027078,-0.026741,-0.026712,train_crossfit
1,WHITE,-0.001268,FULL,2,100,-0.029757,-0.035774,-0.032551,-0.033819,train_crossfit
1,WHITE,-0.000351,QRS,2,100,-0.025903,-0.027095,-0.02658,-0.026931,train_crossfit
1,WHITE,2.8e-05,HF,2,100,-0.026404,-0.027078,-0.026741,-0.026712,train_crossfit
1,HF,-0.001268,FULL,2,100,-0.029757,-0.035774,-0.032551,-0.033819,train_crossfit
1,HF,-0.000351,QRS,2,100,-0.025903,-0.027095,-0.02658,-0.026931,train_crossfit
1,HF,2.8e-05,HF,2,100,-0.026404,-0.027078,-0.026741,-0.026712,train_crossfit
8,RAW,0.142946,FULL,2,100,-0.031283,-0.043721,-0.037372,0.105575,train_crossfit
8,RAW,0.033089,QRS,2,100,-0.025925,-0.0284,-0.02719,0.005899,train_crossfit
8,RAW,0.001351,HF,2,100,-0.026282,-0.027062,-0.02669,-0.025338,train_crossfit
8,WHITE,-7.4e-05,FULL,2,100,-0.03335,-0.040022,-0.037094,-0.037168,train_crossfit
8,WHITE,0.00085,QRS,2,100,-0.026485,-0.027611,-0.027119,-0.026269,train_crossfit
8,WHITE,0.001755,HF,2,100,-0.026292,-0.027053,-0.026698,-0.024944,train_crossfit
8,HF,-0.001469,FULL,2,100,-0.034081,-0.040478,-0.03718,-0.038649,train_crossfit
8,HF,-0.000267,QRS,2,100,-0.026486,-0.027663,-0.027117,-0.027384,train_crossfit
8,HF,0.008932,HF,2,100,-0.026274,-0.027174,-0.026706,-0.017774,train_crossfit
32,RAW,0.232398,FULL,2,100,-0.024812,-0.043568,-0.034276,0.198122,train_crossfit
32,RAW,0.055343,QRS,2,100,-0.025183,-0.028612,-0.026926,0.028417,train_crossfit
32,RAW,0.003962,HF,2,100,-0.026271,-0.026937,-0.026625,-0.022663,train_crossfit
32,WHITE,0.006105,FULL,2,100,-0.031478,-0.03725,-0.034433,-0.028328,train_crossfit
32,WHITE,0.0028,QRS,2,100,-0.026381,-0.027766,-0.026945,-0.024145,train_crossfit
32,WHITE,0.004265,HF,2,100,-0.026224,-0.027029,-0.026635,-0.022369,train_crossfit
32,HF,0.002281,FULL,2,100,-0.031732,-0.037063,-0.03434,-0.03206,train_crossfit
32,HF,0.000785,QRS,2,100,-0.026468,-0.027505,-0.026926,-0.026141,train_crossfit
32,HF,0.021178,HF,2,100,-0.026222,-0.027107,-0.026659,-0.005481,train_crossfit
64,RAW,0.273996,FULL,2,100,-0.025409,-0.043438,-0.03381,0.240186,train_crossfit
64,RAW,0.064567,QRS,2,100,-0.025003,-0.028044,-0.026484,0.038083,train_crossfit
64,RAW,0.005235,HF,2,100,-0.026396,-0.027243,-0.026842,-0.021607,train_crossfit
64,WHITE,0.008092,FULL,2,100,-0.030067,-0.036465,-0.033471,-0.025379,train_crossfit
64,WHITE,0.003895,QRS,2,100,-0.025842,-0.026987,-0.0264,-0.022505,train_crossfit
64,WHITE,0.005635,HF,2,100,-0.02644,-0.0273,-0.026824,-0.021189,train_crossfit
64,HF,-0.002503,FULL,2,100,-0.030418,-0.036414,-0.033488,-0.035991,train_crossfit
64,HF,0.000435,QRS,2,100,-0.025823,-0.027065,-0.026437,-0.026002,train_crossfit
64,HF,0.028085,HF,2,100,-0.026464,-0.02729,-0.026854,0.001231,train_crossfit
64,RESID,0.332956,FULL,2,100,-0.025238,-0.043549,-0.033513,0.299443,train_crossfit
64,RESID,0.076855,QRS,2,100,-0.024726,-0.028185,-0.026443,0.050413,train_crossfit
64,RESID,0.005992,HF,2,100,-0.026405,-0.027205,-0.026813,-0.020821,train_crossfit
128,RAW,0.293108,FULL,2,100,-0.027246,-0.043886,-0.035879,0.257229,train_crossfit
128,RAW,0.070413,QRS,2,100,-0.025095,-0.028645,-0.026954,0.043459,train_crossfit
128,RAW,0.007401,HF,2,100,-0.026254,-0.027103,-0.026698,-0.019297,train_crossfit
128,WHITE,0.005994,FULL,2,100,-0.032039,-0.038374,-0.035586,-0.029591,train_crossfit
128,WHITE,0.003961,QRS,2,100,-0.026226,-0.02741,-0.026848,-0.022887,train_crossfit
128,WHITE,0.007291,HF,2,100,-0.026286,-0.027097,-0.026704,-0.019413,train_crossfit
128,HF,0.000422,FULL,2,100,-0.032334,-0.038887,-0.035552,-0.035131,train_crossfit
128,HF,0.000373,QRS,2,100,-0.026207,-0.027436,-0.026844,-0.026472,train_crossfit
128,HF,0.035495,HF,2,100,-0.026205,-0.027319,-0.026731,0.008764,train_crossfit
256,RAW,0.30248,FULL,2,100,-0.02561,-0.044491,-0.033562,0.268918,train_crossfit
256,RAW,0.074803,QRS,2,100,-0.025492,-0.028864,-0.026874,0.047929,train_crossfit
256,RAW,0.009158,HF,2,100,-0.026395,-0.027146,-0.02675,-0.017592,train_crossfit
256,WHITE,0.009529,FULL,2,100,-0.028438,-0.03514,-0.032395,-0.022867,train_crossfit
256,WHITE,0.005285,QRS,2,100,-0.025877,-0.027285,-0.026654,-0.021369,train_crossfit
256,WHITE,0.008737,HF,2,100,-0.026256,-0.027167,-0.026687,-0.01795,train_crossfit
256,HF,-0.00029,FULL,2,100,-0.028781,-0.035686,-0.032319,-0.032609,train_crossfit
256,HF,0.000261,QRS,2,100,-0.026082,-0.027424,-0.026677,-0.026417,train_crossfit
256,HF,0.042507,HF,2,100,-0.026169,-0.027275,-0.026688,0.015819,train_crossfit
256,RESID,0.373075,FULL,2,100,-0.022831,-0.044147,-0.033795,0.33928,train_crossfit
