round,global_step,s,bin,n,h_mean,beta_mean,w_mean,effective_w_mean,delta2_mean,u_norm_mean,dudt_norm_mean,hdudt_norm_mean
14,3052,0.953333,"[0.3,0.5)",1619,0.386234,1.0,0.00579992,0.00579992,232.3436,32.6533,22.2643,8.4086
14,3052,0.953333,"[0.5,0.7)",520,0.574871,1.0,0.00650355,0.00650355,183.7929,32.2422,15.8548,9.0815
14,3052,0.953333,"[0.7,1.0)",56,0.746605,1.0,0.00634507,0.00634507,274.1021,32.0823,16.9512,12.6703
14,3052,0.953333,boundary(r=t),6949,0.0,1.0,0.0074712,0.0074712,158.2624,0.0,0.0,0.0
15,3270,0.95,"[0.0,0.1)",1826,0.049616,1.0,0.00742033,0.00742033,169.7341,32.6264,34.0698,1.6573
15,3270,0.95,"[0.1,0.3)",2932,0.192485,1.0,0.006123,0.006123,208.3277,32.7465,29.9407,5.6986
15,3270,0.95,"[0.3,0.5)",1554,0.386708,1.0,0.0057755,0.0057755,240.0059,32.8088,22.7966,8.6112
15,3270,0.95,"[0.5,0.7)",591,0.573532,1.0,0.00639489,0.00639489,185.9686,32.6369,15.767,9.002
15,3270,0.95,"[0.7,1.0)",47,0.758452,1.0,0.00675492,0.00675492,202.362,31.9016,14.8846,11.343
15,3270,0.95,boundary(r=t),6949,0.0,1.0,0.00763199,0.00763199,156.2836,0.0,0.0,0.0
16,3488,0.946667,"[0.0,0.1)",1799,0.050341,1.0,0.00732113,0.00732113,169.734,32.523,34.3732,1.6994
16,3488,0.946667,"[0.1,0.3)",2907,0.193904,1.0,0.00619372,0.00619372,206.8786,32.7887,29.8509,5.7116
16,3488,0.946667,"[0.3,0.5)",1641,0.385822,1.0,0.00575848,0.00575848,238.0249,32.662,22.244,8.4123
16,3488,0.946667,"[0.5,0.7)",559,0.5741,1.0,0.00653609,0.00653609,182.466,32.527,15.6682,8.9656
16,3488,0.946667,"[0.7,1.0)",44,0.73942,1.0,0.0064142,0.0064142,189.5854,31.5145,13.068,9.6641
16,3488,0.946667,boundary(r=t),6949,0.0,1.0,0.00763821,0.00763821,156.0372,0.0,0.0,0.0
17,3706,0.943333,"[0.0,0.1)",1853,0.049286,1.0,0.00740756,0.00740756,167.8276,32.4582,34.4613,1.6682
17,3706,0.943333,"[0.1,0.3)",2948,0.19229,1.0,0.00627272,0.00627272,206.5299,32.8852,30.2692,5.7221
